,C,checkpoint,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
0,0.0,500.0,0.18373173970783532,0.16380418914619455,0.10634615351660609,0.18251120992671727,0.1201345111854718
1,0.0,1000.0,0.17377158034528553,0.1710177508476003,0.10234706974719693,0.1801920005462837,0.11713344068129705
2,0.0,500.0,0.1759628154050465,0.171495864045027,0.26712977058248616,0.3321899303547585,0.10648935911789348
3,0.0,1000.0,0.1752324037184595,0.2145697610081928,0.404258187382865,0.4913114205084723,0.09422785681461554
4,0.0,500.0,0.1752324037184595,0.1627525206454735,0.16290911209601466,0.23628971738046706,0.1298748213995965
5,0.0,1000.0,0.1711155378486056,0.16678363573483232,0.12643525180061582,0.20234635389156336,0.12618138441241855
6,0.0,500.0,0.1755644090305445,0.21908556874237733,0.17207084678785206,0.2901311549732835,0.1276487415974389
7,0.0,1000.0,0.1704515272244356,0.204739304340985,0.2166119917676339,0.31773576257366415,0.1251958714529231
8,0.0,500.0,0.17270916334661354,0.2177818953706988,0.35907899404278754,0.4594024875312257,0.11555661994610433
9,0.0,1000.0,0.17177954847277557,0.2259809700316,0.40055385111024416,0.5014371716213099,0.10722876463794162
10,0.0,500.0,0.1799468791500664,0.18288897958808686,0.13077706521745341,0.2200943856624411,0.12055894572058201
11,0.0,1000.0,0.17390438247011952,0.1602126934751199,0.07693994976725799,0.14364799381292737,0.10796566274663322
12,0.0,500.0,0.18645418326693228,0.16527086431532595,0.25926526760616475,0.33128537522930446,0.12628976476088494
13,0.0,1000.0,0.17928286852589642,0.13627564081360405,0.04671347972839818,0.09926157109846134,0.11262529559621737
14,0.0,500.0,0.18406374501992032,0.16913151555103545,0.1143220436283417,0.2019741736718324,0.13814865703749835
15,0.0,1000.0,0.17961487383798141,0.12900039679283232,0.06995968928130158,0.12596074652840017,0.13819176445353654
16,0.0,500.0,0.18638778220451527,0.25507400263551,0.5416122345344674,0.6629545450284314,0.10746145241180982
17,0.0,1000.0,0.17357237715803453,0.2071535402913223,0.2115670113574893,0.3164979992384799,0.12650476024022284
18,0.0,500.0,0.17138114209827357,0.17136850760741584,0.17368224734684407,0.2466089600897659,0.11630443030901882
19,0.0,1000.0,0.16786188579017264,0.14990845641730915,0.050077371217906896,0.11177476675051357,0.1171230700279271
20,0.05,500.0,0.17649402390438246,0.23375954177839778,0.36132958539423327,0.4768710652989343,0.11815311461311107
21,0.05,1000.0,0.16879150066401064,0.20738141383538633,0.2630632833157494,0.3604918024513451,0.11880488109143239
22,0.05,500.0,0.17981407702523242,0.14373103732550596,0.10479930037454632,0.16600150465083824,0.1264037015329169
23,0.05,1000.0,0.17197875166002657,0.16042734794651334,0.14727435679641454,0.21522083785747953,0.12172278577574014
24,0.05,500.0,0.1843293492695883,0.16606605472322983,0.13686565740401713,0.21958790086557844,0.1352198400989677
25,0.05,1000.0,0.1745683930942895,0.17181117603790932,0.10952782707689879,0.19161997014718424,0.12617047215819577
26,0.05,500.0,0.18625498007968128,0.2301971922569292,0.2461787072351942,0.3753225416124017,0.13445271263896397
27,0.05,1000.0,0.17656042496679947,0.22075307753150605,0.20018210368600026,0.3196788205037285,0.1309395685579523
28,0.05,500.0,0.17410358565737052,0.19430323762370336,0.18613647151830953,0.28252609853978317,0.1272931706078192
29,0.05,1000.0,0.1702523240371846,0.19908521208818603,0.20763533108540766,0.3030871495137071,0.12157719544274581
30,0.05,500.0,0.17961487383798141,0.21969727681686976,0.22904336729593727,0.34675125978187876,0.13033734852803214
31,0.05,1000.0,0.17583001328021247,0.2002697934500839,0.1781371615473329,0.2826090126055503,0.13257434058441264
32,0.05,500.0,0.17695883134130147,0.16898843262939733,0.14168386503078,0.22236818080153992,0.13092669049322603
33,0.05,1000.0,0.17304116865869854,0.16039264537334164,0.10939073521792753,0.1822362927086229,0.12752890739389666
34,0.05,500.0,0.1841965471447543,0.0918157872676901,0.03226171292850488,0.0027678569512804563,0.14317924635278456
35,0.05,1000.0,0.1752988047808765,0.13210198440346005,0.05034812763937524,0.10646377243162042,0.13299430189766315
36,0.05,500.0,0.1748339973439575,0.19164628425407249,0.17147849571388013,0.26621905849867744,0.12596049150157052
37,0.05,1000.0,0.17270916334661354,0.19881924595079647,0.17806918683392636,0.2783081162873307,0.12764033675457243
38,0.05,500.0,0.17583001328021247,0.1879295985487986,0.1798410991111306,0.27237578609833835,0.12834503970144873
39,0.05,1000.0,0.17629482071713148,0.22520828614803062,0.27581282620008213,0.3927287011113882,0.12661815541140198
40,0.1,500.0,0.1806108897742364,0.21445026781259513,0.20420403609857135,0.3203609324070693,0.13272189672791046
41,0.1,1000.0,0.1707835325365206,0.20814691649283118,0.17302477763986085,0.2798704526024559,0.12599072085288254
42,0.1,500.0,0.17755644090305445,0.13310715546798918,0.01826063561497976,0.07237663596949317,0.12003202826851544
43,0.1,1000.0,0.17184594953519255,0.15607211483558872,0.060235877967681706,0.12848967390955202,0.11910893982214754
44,0.1,500.0,0.17915006640106243,0.19498665766298712,0.18197744724676707,0.2830170473388566,0.13266841865850243
45,0.1,1000.0,0.17184594953519255,0.1754774326859846,0.13823029261686082,0.2204990368579845,0.1254528911465932
46,0.1,500.0,0.18273572377158034,0.283882975621683,0.3807846338305008,0.5440214094575987,0.1322504231557553
47,0.1,1000.0,0.1695883134130146,0.23108916874318775,0.28901705708333636,0.4048215376923443,0.1193833108024035
48,0.1,500.0,0.17981407702523242,0.12181991286203937,0.02032729538897249,0.07086040279866979,0.13214346701693935
49,0.1,1000.0,0.17204515272244356,0.15695426226933046,0.11907170532561884,0.18724211719573475,0.12514435919401845
50,0.1,500.0,0.17569721115537848,0.20637407636744537,0.25090494907323047,0.3516702732563419,0.12180398578510387
