,p,checkpoint,train_error,demographic parity,equal_opportunity,equal odds,overall accuracy
0,0.0,500.0,0.17649402390438246,0.20700794995832783,0.230020146791108,0.334002050874253,0.1247991588577686
1,0.0,1000.0,0.16693227091633467,0.2094434688162577,0.19995475968653947,0.3030800104287364,0.12118102444844414
2,0.0,500.0,0.17357237715803453,0.2180487441168858,0.3060604312338667,0.4110812274311335,0.11834825139450689
3,0.0,1000.0,0.17098273572377157,0.22079476073789384,0.2555643586300182,0.36731514094567247,0.12417172429924916
4,0.0,500.0,0.17822045152722443,0.16939694008757203,0.1110272692843976,0.19435968486851352,0.1312887005152088
5,0.0,1000.0,0.1705843293492696,0.1746528955355661,0.14252526631521645,0.22407187302925996,0.12690343864588072
6,0.0,500.0,0.17410358565737052,0.1898925606328674,0.11755112812319529,0.21251522839595038,0.12306386972485539
7,0.0,1000.0,0.16945551128818062,0.16949888140367536,0.08471191573877368,0.16192150186534238,0.11948830113071618
8,0.0,500.0,0.17330677290836655,0.17882424512726225,0.17200058721012923,0.25467812317409894,0.12339171877451938
9,0.0,1000.0,0.1695219123505976,0.21005212787854083,0.21131738993094573,0.3159628266982869,0.12321196746920615
10,0.0,500.0,0.18173970783532536,0.1763069846591157,0.15911452368290424,0.24750308191986076,0.13379308291862924
11,0.0,1000.0,0.17410358565737052,0.17991868003607703,0.1352759630560289,0.22408721036112383,0.13031409980993625
12,0.0,500.0,0.1752324037184595,0.20368045461413936,0.1943408480616639,0.29860266565612265,0.1280622638783263
13,0.0,1000.0,0.16766268260292164,0.17641089178572242,0.1295952191499048,0.20794438759044964,0.11622323029965509
14,0.0,500.0,0.17204515272244356,0.14660386878327222,0.08155137717340577,0.14379509570444066,0.12605063795465354
15,0.0,1000.0,0.16799468791500663,0.14941820734891778,0.05287233149268472,0.1157652920415303,0.12124738058257833
16,0.0,500.0,0.1743691899070385,0.16952090650502943,0.22565491351502953,0.2970171260563086,0.12104133154695995
17,0.0,1000.0,0.16686586985391766,0.18309360441405498,0.14668486180283796,0.23115122209859434,0.12078038023228299
18,0.0,500.0,0.17695883134130147,0.20177401961168784,0.36419137795025963,0.4518638295835648,0.1140094869613707
19,0.0,1000.0,0.17317397078353253,0.21494966391761441,0.3662374739454066,0.4630167510631916,0.11322554981563404
20,0.05,500.0,0.17802124833997343,0.16894979843521887,0.13988853289433478,0.22113831329005773,0.13129513954757188
21,0.05,1000.0,0.16719787516600265,0.16533898566705496,0.09950584097001625,0.1723596582036685,0.120971043791819
22,0.05,500.0,0.18326693227091634,0.20110578445557808,0.23824622954546626,0.34039722393985405,0.12790325387975265
23,0.05,1000.0,0.17682602921646745,0.17716263376964364,0.11275519792351535,0.19939360840284792,0.12529191533751627
24,0.05,500.0,0.17390438247011952,0.1795656164578137,0.1720914105666977,0.25643190811263644,0.12548705211891198
25,0.05,1000.0,0.1699867197875166,0.183101126648124,0.22279254974292417,0.3021836257593052,0.11665159645577206
26,0.05,500.0,0.18353253652058432,0.22500671033427183,0.2659496381631747,0.38804450301542504,0.13252675994651464
27,0.05,1000.0,0.17423638778220452,0.18825744759846258,0.16906910629245914,0.2631296169071467,0.13111538824225877
28,0.05,500.0,0.18260292164674635,0.2403796293006944,0.24486148295691146,0.3793522553818513,0.12993867012237437
29,0.05,1000.0,0.17337317397078353,0.1926475236975949,0.11886949483363612,0.2148217487994929,0.12077143378856348
30,0.05,500.0,0.1808100929614874,0.19943522665424007,0.14973058593631738,0.25492418120052174,0.1281840638923718
31,0.05,1000.0,0.17403718459495351,0.18830340343380153,0.12327756931564315,0.2185610463160611,0.12779880515229314
32,0.05,500.0,0.1750332005312085,0.18796714954127114,0.14343521352913857,0.2360871102021141,0.12414149494793725
33,0.05,1000.0,0.16759628154050465,0.21445026781259513,0.20579544409479672,0.31317315138943463,0.12186444448772804
34,0.05,500.0,0.1749667994687915,0.16913795458339853,0.13352575698982838,0.2119282859920147,0.12555340825304628
35,0.05,1000.0,0.16925630810092962,0.16233540775152377,0.09639214212313019,0.16864968457952006,0.1234219481258314
36,0.05,500.0,0.1701195219123506,0.1657827372992544,0.11370912877552414,0.18797116662979485,0.12319265037211691
37,0.05,1000.0,0.16859229747675963,0.19442449603689593,0.127345770230617,0.22568089448599465,0.12787410773014662
38,0.05,500.0,0.18260292164674635,0.26465401905644664,0.2962446541315202,0.45063196737610983,0.13718890020745522
39,0.05,1000.0,0.17443559096945552,0.23380048279102403,0.21706782219871346,0.34576943256015463,0.13141104213010735
40,0.1,500.0,0.17357237715803453,0.14828513824592454,0.09198292520896512,0.15203990956894525,0.11774406555408345
41,0.1,1000.0,0.16905710491367862,0.1718008053845395,0.11914082247118357,0.19789052289161757,0.12373048007840615
42,0.1,500.0,0.17284196547144753,0.17977756292494226,0.162296768459276,0.24700397237109023,0.1254206959847779
43,0.1,1000.0,0.1701859229747676,0.17228569862227375,0.15770590483197394,0.23494407229131364,0.12359329458827817
44,0.1,500.0,0.17762284196547146,0.14101755687425782,0.038190935829014505,0.10019905502523396,0.12617243796869915
45,0.1,1000.0,0.17290836653386454,0.1552094850918448,0.08166562038921521,0.15036203366794515,0.12400878267966886
46,0.1,500.0,0.17735723771580345,0.20393015266664902,0.2824931982445387,0.37962489106181385,0.12094474606151373
