,C,checkpoint,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
0,0.0,500.0,0.17729083665338646,0.2105865675646763,0.2904702307884324,0.39239467223314806,0.12054410184535247
1,0.0,1000.0,0.16839309428950863,0.19278382657892545,0.17525137791598666,0.2657954668506057,0.11911985207637033
2,0.0,500.0,0.17609561752988048,0.18381620024837012,0.18329524274112885,0.2715158528712972,0.1263225015235533
3,0.0,1000.0,0.17164674634794155,0.19293104171447883,0.2606990199645731,0.3472514242315301,0.11851119301408719
4,0.0,500.0,0.18213811420982737,0.18374537089237628,0.22267887774319378,0.3070918774773087,0.1180713730028945
5,0.0,1000.0,0.17270916334661354,0.1970117032522389,0.2514047631423968,0.3406864224749361,0.1149524341056809
6,0.0,500.0,0.17164674634794155,0.14503491129009302,0.0711889462834111,0.12935903825237133,0.11820910009387542
7,0.0,1000.0,0.17151394422310756,0.1547285234751173,0.07105356807267693,0.13413925595718101,0.11106386033710713
8,0.0,500.0,0.18346613545816734,0.2015758338180828,0.31283162663489184,0.40738208422465166,0.11883402724103853
9,0.0,1000.0,0.17410358565737052,0.2201505164936416,0.32899075829505703,0.43277691958082903,0.11400108211850424
10,0.0,500.0,0.17231075697211157,0.17775000992433415,0.13948068461389512,0.22108288070910803,0.11919461305337087
11,0.0,1000.0,0.17131474103585656,0.22519791549466078,0.3327636404971636,0.4383442637170579,0.11107029936947022
12,0.0,500.0,0.18592297476759628,0.2267609755563299,0.4033710888121047,0.5147273700712987,0.12036577474968968
13,0.0,1000.0,0.17264276228419656,0.2237786805483913,0.4048488248085998,0.5039936660878058,0.10730155980443878
14,0.0,500.0,0.18645418326693228,0.29580144399212305,0.5989052072628982,0.7515518124561001,0.11058093290987636
15,0.0,1000.0,0.17622841965471447,0.23246997008818726,0.35305723413747225,0.46952826289239075,0.1219882103122768
16,0.0,500.0,0.18592297476759628,0.2547405971622803,0.43666556041152693,0.5682174376282191,0.11855321722841938
17,0.0,1000.0,0.17802124833997343,0.174966783318798,0.1897499844343618,0.2621329963194764,0.10501305548915374
18,0.0,500.0,0.17357237715803453,0.23167959391008755,0.3846460545248596,0.49403428814080724,0.11291057883069622
19,0.0,1000.0,0.17031872509960158,0.23091246645008381,0.37169258750030704,0.4796530655480079,0.11170668037170917
20,0.05,500.0,0.18160690571049137,0.14681080042768818,0.055394250481677954,0.12362851147592024,0.12906458652355457
21,0.05,1000.0,0.17915006640106243,0.15592259288158755,0.06412128973736059,0.13887851884794628,0.12994958237659704
22,0.05,500.0,0.17324037184594954,0.18130876883274044,0.1452756717358285,0.2312032198927521,0.12268898163814645
23,0.05,1000.0,0.17277556440903055,0.17101436082744653,0.11205031728197112,0.19266999728641832,0.12592633052925184
24,0.05,500.0,0.17802124833997343,0.16041501148264015,0.15147793592212266,0.22559195393832648,0.13250351122841875
25,0.05,1000.0,0.17191235059760956,0.19210094814049472,0.20620329237523638,0.296081226485038,0.1204158627989439
26,0.05,500.0,0.17795484727755645,0.23630289938394108,0.2351119669197344,0.3658627801766481,0.1311965882516224
27,0.05,1000.0,0.16925630810092962,0.2290848644606756,0.19438768778014576,0.3180669811027598,0.1294638065300654
28,0.05,500.0,0.17835325365205842,0.18388452219300763,0.16450109130831908,0.2562238324521701,0.13027743142626114
29,0.05,1000.0,0.17270916334661354,0.17747868795628743,0.1550017679137647,0.23825040610503295,0.12552568631309058
30,0.05,500.0,0.17569721115537848,0.2042009330338428,0.19309102728070865,0.29765793093644477,0.12724165834891454
31,0.05,1000.0,0.1711155378486056,0.2011427938471977,0.14368597738784028,0.24567426795668235,0.12376464105072482
32,0.05,500.0,0.18087649402390438,0.15227673653230747,0.0760517087643397,0.14926659476153192,0.13372028775213207
33,0.05,1000.0,0.17250996015936254,0.15073550097908395,0.043691175454159625,0.1107888695961401,0.12402166074439502
34,0.05,500.0,0.17330677290836655,0.1566239058083101,0.11404957355863615,0.18116155836700226,0.12157916125324908
35,0.05,1000.0,0.17104913678618858,0.16724365545191167,0.10359631931207303,0.18050383483907878,0.12457236851541043
36,0.05,500.0,0.18220451527224435,0.18175699368679957,0.1921582314236247,0.2787688472123724,0.12300341102223122
37,0.05,1000.0,0.17184594953519255,0.17679472631615073,0.12507233023600933,0.20929784691570807,0.12575498406680496
