,C,checkpoint,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
0,0.4,500.0,0.39432432432432435,0.19043374925727866,0.11824123588829472,0.19043374925727866,0.1464646464646465
1,0.4,1000.0,0.4437837837837838,0.10011883541295305,0.06268568033273916,0.10011883541295305,0.1464646464646465
2,0.4,500.0,0.4502702702702703,0.23895984878859045,0.2181110029211295,0.23895984878859045,0.2598086946560513
3,0.4,1000.0,0.4154054054054054,0.2317429406037001,0.20184432098058308,0.2317429406037001,0.2598086946560513
4,0.4,500.0,0.41216216216216217,0.3501783907556313,0.23345226050375417,0.3501783907556313,0.18866819319452582
5,0.4,1000.0,0.42486486486486486,0.28979178870014377,0.19202300441983067,0.28979178870014377,0.18866819319452582
6,0.4,500.0,0.40594594594594596,0.16977386082998402,0.10769454263716041,0.16977386082998402,0.17180766064597353
7,0.4,1000.0,0.4448648648648649,0.1438671250786887,0.1128758897874195,0.1438671250786887,0.17180766064597353
8,0.4,500.0,0.47216216216216217,0.19774247491638794,0.13064381270903008,0.19774247491638794,0.18311036789297658
9,0.4,1000.0,0.4524324324324324,0.19899665551839468,0.1318979933110368,0.19899665551839468,0.18311036789297658
10,0.4,500.0,0.47621621621621624,0.18104667609618105,0.1219438270357648,0.18104667609618105,0.15881996362901596
11,0.4,1000.0,0.45594594594594595,0.18074358456253792,0.1166902404526167,0.18074358456253792,0.15881996362901596
12,0.4,500.0,0.49,0.14790332575914067,0.13220409006403636,0.14790332575914067,0.18095434827514975
13,0.4,1000.0,0.4197297297297297,0.21772361082420988,0.19231563726502787,0.21772361082420988,0.18095434827514975
14,0.4,500.0,0.49243243243243245,0.1667231611059997,0.14711152002324343,0.1667231611059997,0.2672025567769115
15,0.4,1000.0,0.4702702702702703,0.21965038012687035,0.172001355866544,0.21965038012687035,0.2672025567769115
16,0.4,500.0,0.5172972972972973,0.16483516483516483,0.13113553113553114,0.16483516483516483,0.21245421245421248
17,0.4,1000.0,0.4478378378378378,0.2402930402930403,0.17655677655677654,0.2402930402930403,0.21245421245421248
18,0.4,500.0,0.43108108108108106,0.166005291005291,0.0787037037037037,0.166005291005291,0.1117724867724868
19,0.4,1000.0,0.45432432432432435,0.1474867724867725,0.0787037037037037,0.1474867724867725,0.1117724867724868
20,0.45,500.0,0.38891891891891894,0.21258023106546853,0.10603337612323492,0.21258023106546853,0.13966623876765083
21,0.45,1000.0,0.43513513513513513,0.17509627727856225,0.08241335044929397,0.17509627727856225,0.13966623876765083
22,0.45,500.0,0.5243243243243243,0.24331550802139035,0.17260843731431966,0.24331550802139035,0.26530005941770646
23,0.45,1000.0,0.49405405405405406,0.20320855614973263,0.15775401069518716,0.20320855614973263,0.26530005941770646
24,0.45,500.0,0.5002702702702703,0.1364922206506365,0.15255607193372397,0.1364922206506365,0.1544756516467973
