,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
0,0.17628141369935682,0.16116855797905627,0.11971960892824202,0.19289983269361305,0.20015891077100018
1,0.1730322922883098,0.21237039091046445,0.17814135183410496,0.2879348149186253,0.20015891077100018
2,0.171805583184139,0.20243086328075702,0.23250199090258755,0.328094977053839,0.20015891077100018
3,0.17661295670048405,0.17529985880617482,0.13402036344657858,0.2175418670136805,0.20015891077100018
4,0.16905377627478285,0.18450013031887091,0.17060797890768065,0.25256549370792036,0.20015891077100018
5,0.16776075857038658,0.20089314073294384,0.20962404560404213,0.30286639672405674,0.20015891077100018
6,0.17044625687951728,0.14312306615924905,0.04972644773487028,0.10637845602775531,0.20015891077100018
7,0.17522047609574962,0.21564554792012486,0.18893046913313627,0.3006546772576299,0.20015891077100018
8,0.16878854187388104,0.19123923113671965,0.2098658784042185,0.29531131415019546,0.20015891077100018
9,0.18142033021682913,0.18846693040771648,0.18794176666171747,0.2830203240639487,0.20015891077100018
