,p,checkpoint,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
28,0.05,500.0,0.17430278884462153,0.24948965653699892,0.4126219332122736,0.5362681875630604,0.11550510768719968
29,0.05,1000.0,0.17250996015936254,0.23462915215535776,0.33455897263360884,0.4518753795248041,0.12009445278164288
30,0.05,500.0,0.1804116865869854,0.2020185022485763,0.2255880812337811,0.3292957094079477,0.13031159239857992
31,0.05,1000.0,0.17868525896414342,0.2246575783770152,0.2630181572455047,0.3825851474318812,0.13046809498579715
32,0.05,500.0,0.17815405046480745,0.2352157861162868,0.19222906221742658,0.32436253022390216,0.130585963378836
33,0.05,1000.0,0.16620185922974767,0.2018609164596531,0.15645779769925583,0.25607790196605557,0.12221161063448116
34,0.05,500.0,0.17881806108897744,0.14448420351907762,0.049053752004254436,0.11464253532576196,0.12855054713621428
35,0.05,1000.0,0.17231075697211157,0.15110537424308018,0.034192423275684336,0.09881219453062506,0.11617368385125382
36,0.05,500.0,0.1750332005312085,0.20297880067947238,0.24701839487139354,0.3472464424412199,0.1271624241500542
37,0.05,1000.0,0.1698539176626826,0.19942593920257617,0.20572632694923199,0.30207124647311423,0.12310053810853039
38,0.05,500.0,0.17782204515272243,0.1759181353059747,0.11291399599349045,0.2003391797662159,0.12888483521824134
39,0.05,1000.0,0.17191235059760956,0.21444687779244134,0.259836483685212,0.36564667531649275,0.12222842032021408
40,0.1,500.0,0.17602921646746347,0.1904381131661342,0.3167398870477325,0.39863405850111683,0.11655697678082932
41,0.1,1000.0,0.1698539176626826,0.19606340027727157,0.2726528588507932,0.35989960595424564,0.1170586797042964
42,0.1,500.0,0.1754316069057105,0.24021133185045696,0.26665509002079796,0.39792967586679767,0.13107675404808017
43,0.1,1000.0,0.17430278884462153,0.19641429745212302,0.13573179348710845,0.235418762339749,0.1239637094531274
44,0.1,500.0,0.17390438247011952,0.17984500226078237,0.2167696474054509,0.29852366544263176,0.12488286627848855
45,0.1,1000.0,0.16945551128818062,0.2143631703717213,0.2402243508272066,0.3469220059517346,0.12371760201367998
46,0.1,500.0,0.1802124833997344,0.1888736288948147,0.2580165892573677,0.348435208763262,0.12880756682988448
47,0.1,1000.0,0.17695883134130147,0.17254325991679687,0.1857943130869602,0.26547094021699064,0.12760366837089732
48,0.1,500.0,0.17749003984063744,0.2244604757851161,0.2803579925410605,0.39589081938171145,0.12446487077574153
49,0.1,1000.0,0.17124833997343958,0.2220496298549326,0.22215792867910278,0.3378530660242064,0.12637848700431764
50,0.1,500.0,0.17430278884462153,0.2072372477120423,0.22263432288902812,0.3270558288473183,0.12607835989460925
51,0.1,1000.0,0.17031872509960158,0.19835082139085064,0.21897511268665198,0.31436832627206746,0.12439458302060069
52,0.1,500.0,0.1745019920318725,0.17716710699150334,0.12109552389368294,0.20583314463670327,0.12365517750055255
53,0.1,1000.0,0.1695219123505976,0.1738930897167229,0.10205175103432945,0.18129100510874274,0.11807638782560714
54,0.1,500.0,0.1792164674634794,0.21549569787386164,0.2332932149240482,0.3440637099684647,0.12279790358746578
55,0.1,1000.0,0.1699867197875166,0.20405229368863903,0.16198031475148383,0.26348429594758915,0.12027671149831254
56,0.1,500.0,0.17822045152722443,0.15550479797174893,0.16388589159118516,0.23220773208217582,0.12977823591415039
57,0.1,1000.0,0.16852589641434262,0.18005837293756138,0.18577260687595637,0.26468763326255756,0.11750439714699912
58,0.1,500.0,0.1792164674634794,0.19099451777575122,0.15829768468986682,0.25486050409937117,0.12642301863000616
59,0.1,1000.0,0.1711155378486056,0.16826922681523593,0.08541622516423886,0.16288618985449332,0.12134789768903131
60,0.15000000000000002,500.0,0.17284196547144753,0.21801349994286112,0.2420653802499756,0.3523042362834425,0.12270185970287262
61,0.15000000000000002,1000.0,0.1691899070385126,0.1639710623867816,0.06244077203280379,0.1356609023112384,0.11788572426607113
62,0.15000000000000002,500.0,0.1745019920318725,0.14769884529293997,0.10718584115280538,0.1687716646019798,0.12395727042076432
63,0.15000000000000002,1000.0,0.1657370517928287,0.18499881579976463,0.18888630572284254,0.2705505154437471,0.11699035775965883
64,0.15000000000000002,500.0,0.1801460823373174,0.1462897804071318,0.05821263061569665,0.1221046267412218,0.12115669252864225
65,0.15000000000000002,1000.0,0.17397078353253653,0.16220411969290588,0.09284717513656349,0.1652275648810569,0.11984583793083925
66,0.15000000000000002,500.0,0.17808764940239044,0.21080244565281164,0.2507004537169316,0.35746235128667925,0.12565392535949915
67,0.15000000000000002,1000.0,0.17397078353253653,0.2147237561840537,0.2914475814996821,0.3962192743379343,0.1219604883723211
68,0.15000000000000002,500.0,0.17430278884462153,0.17617623820135078,0.1516835737105796,0.23605488140881736,0.1290992890967263
69,0.15000000000000002,1000.0,0.16719787516600265,0.17593406238291015,0.16538761866300022,0.2419874259881074,0.11825220750991361
