,p,checkpoint,test_error,demographic parity,equal odds,equal_opportunity,overall accuracy violation
1,0.2,1000,0.1790172642762284,0.23920596019301932,0.368909825211906,0.23383929749561738,0.13488805942829696
0,0.2,500,0.1845285524568393,0.21641986952193554,0.351645788896014,0.23165610964149908,0.1388385161091451
1,0.2,1000,0.18320053120849933,0.17931700160700997,0.2445049469397544,0.15120603706849628,0.13747167603057775
0,0.2,500,0.1756308100929615,0.21233615897196617,0.32985693057243703,0.2190665072592995,0.12986194333487033
1,0.2,1000,0.17231075697211157,0.2155600881974924,0.3169114245554056,0.20490891674011552,0.12704902897887516
0,0.2,500,0.17629482071713148,0.1273908392949713,0.1122812035927781,0.062142597239541186,0.12873280585288382
1,0.2,1000,0.1738379814077025,0.15256791719829638,0.13498972844972273,0.0652574385185854,0.1287115229452912
0,0.2,500,0.18718459495351925,0.2077818574586391,0.2535546173459178,0.13443627541982955,0.13824917414395121
1,0.2,1000,0.17695883134130147,0.18253395019932012,0.20757689561819725,0.11411869070420089,0.1312287834134378
0,0.2,500,0.18266932270916333,0.25255206835259525,0.4476581508966142,0.30337971417489834,0.13758954442361637
1,0.2,1000,0.18034528552456838,0.26480157519994446,0.43030286211973234,0.2750645331365303,0.13776536410792284
0,0.25,500,0.17875166002656043,0.19818089913805428,0.2800911702140814,0.17556897405593697,0.13419176132428712
1,0.25,1000,0.17131474103585656,0.19532040414416124,0.2587584535939048,0.16161587889305173,0.1258728524598438
0,0.25,500,0.18180610889774237,0.23152092491945847,0.3453017292027243,0.21361310735263622,0.13691256341669578
1,0.25,1000,0.17822045152722443,0.23046905582582888,0.3528713918522565,0.2265214483069441,0.13068451467478548
0,0.25,500,0.18406374501992032,0.1926925969241364,0.22110423797145717,0.11739175883714115,0.13089842695241738
1,0.25,1000,0.1794156706507304,0.20136117934668935,0.24445600626130115,0.13634527955600512,0.130645880480607
0,0.25,500,0.17363877822045154,0.15772782876169725,0.17912048953783644,0.10593602037185024,0.13264516994040643
1,0.25,1000,0.17231075697211157,0.15047563286611298,0.17040393586886687,0.10602684372841875,0.1267469360586635
0,0.25,500,0.19090305444887118,0.15014581800594562,0.19571231539597922,0.12159305309853302,0.1386324670735266
1,0.25,1000,0.17689243027888446,0.1555373341415088,0.1633490528226355,0.0934600899893811,0.12478628079304255
0,0.25,500,0.1852589641434263,0.16044720664445555,0.2440373927888027,0.16768105122037458,0.13448490780077937
1,0.25,1000,0.1753652058432935,0.1728067186428301,0.25767431951223224,0.17768133111625328,0.12795727355001363
0,0.25,500,0.17961487383798141,0.14163678718281922,0.2033510442267809,0.14563668029778637,0.12792060516633852
1,0.25,1000,0.17257636122177955,0.1467108249220882,0.14976261255971451,0.0893918890744072,0.12200556159886278
0,0.25,500,0.1745019920318725,0.12596103310242346,0.07516084816662577,0.025918358370686068,0.1257698279420345
1,0.25,1000,0.1704515272244356,0.16642108411199655,0.18125161738974993,0.10516430744905753,0.12489377853271144
0,0.25,500,0.17875166002656043,0.1460240148626507,0.16998979231363787,0.103571757020674,0.1350980400849222
1,0.25,1000,0.17569721115537848,0.1686314374301272,0.27220029086569447,0.19811144539945424,0.12452282206700915
0,0.25,500,0.18120849933598937,0.15817747782540675,0.18274900111805814,0.10559500437265906,0.1354214159127265
1,0.25,1000,0.17290836653386454,0.18090419299557242,0.2349350732152879,0.14818430401033672,0.12612343312115093
0,0.3,500,0.18891102257636122,0.2046124895042268,0.329130415317775,0.21883859204375977,0.13356127775355842
1,0.3,1000,0.17722443559096945,0.20499774824430556,0.29173522082283015,0.18486437331027145,0.1289041523153307
0,0.3,500,0.18871181938911022,0.31026002036298855,0.557607940439284,0.3631957483244805,0.14837026987629498
1,0.3,1000,0.1843293492695883,0.28996238501838967,0.4911286942487581,0.31328974193028764,0.14488681354574218
0,0.3,500,0.17642762284196548,0.1499140128408748,0.15492917945299484,0.08680085293984924,0.13104455888626487
1,0.3,1000,0.17636122177954847,0.19484893057200614,0.25325936868699483,0.15250269756793333,0.13034182174989195
0,0.3,500,0.18207171314741036,0.17185340084515008,0.26929314442246743,0.18722578058105244,0.1309628172760482
1,0.3,1000,0.1738379814077025,0.17710183405907515,0.2524989731258276,0.17038690178682098,0.12478431498253906
0,0.3,500,0.19183266932270918,0.26788438731433595,0.4190517104089107,0.24942949794105163,0.15390845954655852
1,0.3,1000,0.18286852589641434,0.2555178946827454,0.37636192142155894,0.2229770525364564,0.14241659211464064
0,0.3,500,0.17636122177954847,0.14192939205845856,0.14874371515217322,0.0878913044347503,0.12943554298925675
1,0.3,1000,0.17244355909694556,0.16672317703220826,0.17725192884562901,0.09827829761614398,0.12875659617183277
0,0.3,500,0.18685258964143425,0.23979530215821318,0.3671160989947675,0.22349857281662655,0.1468192052705547
1,0.3,1000,0.1845285524568393,0.2418074696827388,0.3938691362936948,0.25231471035631886,0.14367200283253234
0,0.3,500,0.1895750332005312,0.11890363298029048,0.133621245322194,0.08052604431151611,0.14481795000025166
1,0.3,1000,0.18180610889774237,0.19829483591008631,0.30012047462591507,0.19461274691529035,0.13661047049648412
0,0.3,500,0.1853253652058433,0.21018090852580237,0.32179174953254813,0.20406694423959998,0.1412295033413865
1,0.3,1000,0.17377158034528553,0.20290993713398192,0.333062789078216,0.23301960242218472,0.12589413536743632
0,0.3,500,0.17430278884462153,0.19657100063224878,0.3473666359635161,0.25435852148714966,0.1239637094531274
1,0.3,1000,0.17370517928286852,0.20687523769005953,0.32010438753989306,0.21470298763145823,0.1285144203533921
0,0.35,500,0.1753652058432935,0.21441217521926964,0.3364696998790063,0.22467984766809607,0.1291656452308605
1,0.35,1000,0.1753652058432935,0.23779601269841372,0.35274220143818924,0.220476839758467,0.13188448151276577
0,0.35,500,0.18585657370517927,0.1782760447676032,0.25732923751895515,0.16413665544988693,0.1389969845068657
1,0.35,1000,0.17377158034528553,0.18151678367886231,0.23053139390696642,0.14238931688840323,0.12680041412807153
0,0.35,500,0.19322709163346613,0.28455941502775073,0.4920685743596243,0.3125163153592578,0.1526550146391702
1,0.35,1000,0.17895086321381143,0.2613542456522139,0.4186475693633289,0.2674742138781516,0.13478950813234747
0,0.35,500,0.1757636122177955,0.15385193246494125,0.11875490457603255,0.05246391199616607,0.11465230699597251
1,0.35,1000,0.16839309428950863,0.15822343366074576,0.1409134072573036,0.0731213702788277,0.11821357331573523
0,0.35,500,0.17709163346613546,0.17893960610894472,0.23666982068057674,0.1492976041483997,0.12840495680321984
1,0.35,1000,0.17270916334661354,0.17377630452539006,0.21845841253243797,0.1374802859050719,0.12492150047266715
0,0.35,500,0.17782204515272243,0.11984583793083922,0.04585027414332643,0.00028389439128645444,0.12284297681400735
1,0.35,1000,0.17682602921646745,0.140823503294568,0.118598572849691,0.05507551190956966,0.13314633126302056
0,0.35,500,0.18300132802124833,0.1924491974889539,0.3550480437552663,0.260357432749303,0.13022788497785986
1,0.35,1000,0.1759628154050465,0.1825117846829301,0.28573660485916547,0.20004386939487084,0.1252191201710191
0,0.35,500,0.18346613545816734,0.15995729858400864,0.17633038734925832,0.09752771968827595,0.13303239449098858
1,0.35,1000,0.17330677290836655,0.1544983431126054,0.14068093075755322,0.06948443750353445,0.12943357717875348
0,0.35,500,0.18147410358565738,0.1813415055954088,0.24863496714907846,0.155683228696068,0.13460724941567792
1,0.35,1000,0.17675962815405047,0.18375770735624944,0.23142104800269853,0.13868498061578233,0.13063103660537745
0,0.35,500,0.18054448871181938,0.18727837367133027,0.288738987489117,0.1962715584088433,0.12809195162878528
1,0.35,1000,0.17370517928286852,0.16140086545008003,0.15065041253640166,0.07527999584154693,0.12639976991191026
0,0.4,500,0.18300132802124833,0.1968467958221552,0.30936686340000813,0.20502087509160877,0.13717602214272906
1,0.4,1000,0.17609561752988048,0.2421882552009579,0.37492399583441127,0.23947548654757578,0.13296854576821082
0,0.4,500,0.18140770252324037,0.2101962940018849,0.35776327404324954,0.2481094175823737,0.13088358307718795
1,0.4,1000,0.18273572377158034,0.23956064857384163,0.44599759455823607,0.3157419725576372,0.13104205147490844
0,0.4,500,0.17782204515272243,0.12596604792513616,0.12494149003780441,0.07861875382357764,0.12344716265443068
1,0.4,1000,0.17363877822045154,0.132583828628985,0.11023972890563405,0.057052490759151864,0.12720749737659587
0,0.4,500,0.18851261620185922,0.2458763363574787,0.4369218152844051,0.29356165220823566,0.14263694342463562
1,0.4,1000,0.1853917662682603,0.20703174027727678,0.3333695464934269,0.22061107553704312,0.13770293959479551
0,0.4,500,0.17463479415670652,0.1809338807460315,0.2379294421177664,0.15254782363817798,0.12203972257118134
1,0.4,1000,0.1699203187250996,0.16227603225060572,0.2059761556785913,0.1369799006198265,0.12078234604278637
0,0.4,500,0.18857901726427623,0.29042009791702117,0.5989740359906838,0.4306672203654527,0.13397480003444584
1,0.4,1000,0.17709163346613546,0.2775721020678501,0.4367812212301277,0.2729064787898902,0.1356551868883007
0,0.4,500,0.17841965471447543,0.18724868592087118,0.2897531050327788,0.19708953983403887,0.13037598272221074
1,0.4,1000,0.1698539176626826,0.19776988426852324,0.29545486498638357,0.19947665182837704,0.12461100270958902
0,0.4,500,0.1848605577689243,0.2224264837521449,0.33025334215565005,0.20315871067391506,0.1399354584293162
1,0.4,1000,0.1701859229747676,0.19568044835564063,0.2664557718670446,0.17059253957527798,0.1241974804287016
0,0.4,500,0.18857901726427623,0.2673619430841292,0.43085123410925624,0.2648374804572699,0.15089200356630117
1,0.4,1000,0.17403718459495351,0.19907965566462038,0.24536245500946124,0.14343578474521768,0.1253820617905994
