,test error,demographic parity,equal odds,equal_opportunity,overall accuracy violation
0,0.17164674634794155,0.15855772174277288,0.14061676671244372,0.06928051336331459,0.12304258681726277
0,0.16746347941567066,0.18770673982744718,0.27379387499407326,0.18879548236627403,0.11834431977350002
0,0.16633466135458166,0.19848048464690962,0.26716819569588107,0.17182008292915035,0.12059615570511006
0,0.1695219123505976,0.18363143412034427,0.23004456163767628,0.1420031748189674,0.12562871083089977
0,0.1801460823373174,0.1281644057873381,0.1255540926880871,0.07318706012791809,0.1311257588956285
0,0.17211155378486057,0.16409001398152634,0.18391370250962163,0.11075479921469217,0.12191988836763923
0,0.16679946879150068,0.17134220987711057,0.1961763795660314,0.12023184518216362,0.1197755501756983
0,0.16673306772908367,0.19842002594428562,0.2485249798171686,0.15223079871430678,0.11997909179996047
0,0.17118193891102257,0.20580154408798437,0.2975336752869558,0.1930002039241402,0.1274883073892148
0,0.17330677290836655,0.17684820438555873,0.20809134586410877,0.12295883074353486,0.12641264797663643
