,test error,demographic parity,equal odds,equal_opportunity,overall accuracy violation
0,0.18731739707835326,0.19664108779448114,0.25530657065942886,0.15141224607303222,0.12575837408695878
0,0.1798804780876494,0.22185340987183097,0.29732273487475464,0.17513884834841442,0.1292210891107719
0,0.1811420982735724,0.16950193041588468,0.20434171053547556,0.12061741603552045,0.1310935637338132
0,0.17310756972111555,0.18719324204095983,0.306699840507209,0.22013353889495962,0.1230960648866708
0,0.17211155378486057,0.1761549552937582,0.25055992954479983,0.1700687344307918,0.1240345388091213
0,0.1796812749003984,0.19717159585960992,0.27762805555934,0.17463732063101095,0.1316442715048286
0,0.17828685258964144,0.2086713265335413,0.2709572298485615,0.15898028790432817,0.12957469428988821
0,0.17755644090305445,0.1432128657242504,0.08441944459485295,0.02107901574899862,0.12275086455042095
0,0.17669322709163346,0.1842347373519702,0.31266861257882617,0.22692815415522571,0.12509481274561718
0,0.17569721115537848,0.17220199120155374,0.2352955388867547,0.15493322198427895,0.12663747250849122
