,C,checkpoint,test error,demographic parity,equal odds,equal_opportunity,overall accuracy violation
0,0.2,500,0.1856573705179283,0.21846958803893374,0.33997992377269654,0.2181120051912117,0.13658668017753517
1,0.2,1000,0.17403718459495351,0.20488970890378366,0.2416608469967716,0.1331413285686296,0.12840299099271646
0,0.2,500,0.17782204515272243,0.14254340695139883,0.12040706493180625,0.057575724687559116,0.1276764635373946
1,0.2,1000,0.17397078353253653,0.1558988025626386,0.13460005285104348,0.0646216750226059,0.12256467421274453
0,0.2,500,0.1811420982735724,0.21281996900799446,0.3239547907890843,0.2095671838647451,0.13199984249444818
1,0.2,1000,0.17363877822045154,0.17909807450666532,0.21922919543948266,0.1311626360708102,0.12992633365850115
0,0.25,500,0.1795484727755644,0.25221974608107156,0.4353843718721088,0.29308525799831037,0.13446809811504645
1,0.25,1000,0.17065073041168657,0.1877434082111223,0.2696181440313261,0.17943210839853285,0.1270019899418302
0,0.25,500,0.18406374501992032,0.23501637670593986,0.4271085691753177,0.29872030461811067,0.13210679863326424
1,0.25,1000,0.17118193891102257,0.1853196842162126,0.25550821544442337,0.16936499622140566,0.12023807730413405
0,0.25,500,0.17915006640106243,0.13150566180505013,0.09458149934420274,0.03869017868210173,0.12904330361596195
1,0.25,1000,0.1741699867197875,0.13879791610446324,0.07786525563203184,0.017192461547161586,0.12708962898355702
0,0.25,500,0.17423638778220452,0.14992025128032935,0.08818508159267857,0.02376144645620404,0.11510446347103842
1,0.25,1000,0.16739707835325365,0.1458658874728746,0.10314624743454182,0.04369117545415957,0.11915204723818562
0,0.25,500,0.17231075697211157,0.16943503268089755,0.1807957398599202,0.1024830191740102,0.12251763517569958
1,0.25,1000,0.1695883134130146,0.16051837700839386,0.16086580600020278,0.09071082700092709,0.12089377540346213
0,0.25,500,0.17788844621513944,0.1989668020942943,0.27601555866370764,0.17288768578088948,0.12958757235461438
1,0.25,1000,0.17324037184594954,0.20469368951359052,0.28986694783402195,0.18497804531000178,0.12782456128174535
0,0.25,500,0.1804780876494024,0.17234954734505153,0.2056706682725336,0.11689023111973779,0.13766037377961027
1,0.25,1000,0.1745683930942895,0.16975698429905145,0.19320135865669802,0.11125461328385844,0.1300976801209479
0,0.25,500,0.1843957503320053,0.14819356758319102,0.14272114954894782,0.06834714629015148,0.14075606395872786
1,0.25,1000,0.17363877822045154,0.16696874287080266,0.15577367241500095,0.07662121119514964,0.12479075401490214
0,0.25,500,0.1852589641434263,0.21019825981238824,0.3385407285718921,0.22295191902897837,0.13871420868374318
1,0.25,1000,0.1750996015936255,0.2261422868486214,0.38523526088295057,0.26717718151704706,0.1272609754460038
0,0.25,500,0.18180610889774237,0.18690436819341877,0.23040741421550887,0.1334583534925008,0.12996442625182658
1,0.25,1000,0.1756308100929615,0.18017068490703453,0.20011024850715142,0.11023270771844296,0.12774729289338838
0,0.3,500,0.17430278884462153,0.16514723890581304,0.14766344563842393,0.07159907942816701,0.11973440857016349
1,0.3,1000,0.1705843293492696,0.16471941435054904,0.15375656819599537,0.07787103197610484,0.12388250944376367
0,0.3,500,0.18034528552456838,0.16776880768638328,0.32416018253082823,0.25322065905768765,0.1226607180973378
1,0.3,1000,0.1704515272244356,0.17524223750075998,0.2415074323857136,0.16184208046035448,0.12398749977207635
0,0.3,500,0.17915006640106243,0.1589860878988898,0.1542029021171108,0.08012048089539259,0.12451190981278648
1,0.3,1000,0.17317397078353253,0.16080562605337606,0.1643122733894003,0.090551457714873,0.12621554538473734
0,0.3,500,0.17317397078353253,0.16307176425936254,0.16234674789028303,0.08916568750710446,0.12017368698050324
1,0.3,1000,0.16812749003984065,0.17043986273748218,0.17722115175034625,0.09998337761209969,0.12084029733405399
0,0.3,500,0.19103585657370517,0.19040016098784462,0.19742467347409443,0.08625705523259636,0.14366305638881294
1,0.3,1000,0.18306772908366534,0.1953862186774424,0.23257226725634578,0.12461821345316682,0.13757666635889032
0,0.3,500,0.1796812749003984,0.19180637745435203,0.34144986243848097,0.24792662843707858,0.12952962106334653
1,0.3,1000,0.17197875166002657,0.2003381153947214,0.28583194809541435,0.18665970544671673,0.12383743621722221
0,0.3,500,0.17928286852589642,0.12019157986794207,0.06694467885268734,0.018645635252257597,0.13014668496849613
1,0.3,1000,0.17324037184594954,0.13170615441710298,0.06208517516308609,0.009920309644812164,0.12027223827645273
0,0.3,500,0.17735723771580345,0.16900720812563358,0.20317149205820018,0.12157191810360835,0.13000753366786477
1,0.3,1000,0.17244355909694556,0.1627018909953663,0.172068854501704,0.09666461219283573,0.12785031741119768
0,0.3,500,0.18725099601593626,0.1893924825119592,0.2578101851671936,0.15402441720251492,0.140160282961171
1,0.3,1000,0.17649402390438246,0.17038746786978015,0.22873375233405113,0.14781986815190462,0.1299347385013676
0,0.3,500,0.18180610889774237,0.16836099807087795,0.22878087026783722,0.14434230466266545,0.13781884217733087
1,0.3,1000,0.17649402390438246,0.19728160101063524,0.3202438969285319,0.22358825374103686,0.12540334469819203
0,0.35,500,0.17948207171314742,0.22497756418466577,0.41105625931433365,0.29122023750022136,0.13376536097867353
1,0.35,1000,0.17310756972111555,0.20885575165362275,0.3952267850337644,0.297537887334483,0.11796048524307179
0,0.35,500,0.18698539176626827,0.14421538896238725,0.14602062560746953,0.07311908541451151,0.14369328574012497
1,0.35,1000,0.16845949535192564,0.15569830995058573,0.15606273889980682,0.08905144429129502,0.12344770425528362
0,0.35,500,0.18811420982735724,0.23302190147594457,0.3004494327493894,0.1583216757651868,0.14657702945211393
1,0.35,1000,0.17749003984063744,0.20438854758116942,0.2504035566308108,0.14048145518438565,0.13111091502039895
0,0.35,500,0.18326693227091634,0.1733865725634516,0.21044536946626569,0.11854904261329069,0.14119534236906772
