,C,checkpoint,test error,demographic parity,equal odds,equal_opportunity,overall accuracy violation
0,0.3,500,0.17549800796812748,0.16548403439919646,0.17281520759622393,0.09773335747673295,0.11939368145577334
1,0.3,1000,0.17211155378486057,0.16617585928134665,0.15431788223092657,0.07834856861818834,0.12010733084636904
0,0.3,500,0.18200531208499335,0.1714239514873272,0.21394077502583536,0.12734405658237996,0.13448938102263908
1,0.3,1000,0.17609561752988048,0.2633426228577906,0.4280188055961396,0.27720088127216674,0.13357273160863414
0,0.3,500,0.17237715803452855,0.16350656944784253,0.1465292232861135,0.07080337543005433,0.12352246523228427
1,0.3,1000,0.16759628154050465,0.1872966075667135,0.21199774012263545,0.12066425575400236,0.12488537368984498
0,0.3,500,0.17682602921646745,0.16386966267153125,0.18207975117737585,0.10284574138420505,0.13224005250238546
1,0.3,1000,0.1752988047808765,0.15623274963672124,0.1988992165438353,0.12816146679149643,0.1314838372966045
0,0.3,500,0.17981407702523242,0.1739481925886898,0.2354901000316943,0.14886519357656097,0.1342581174584212
1,0.3,1000,0.17363877822045154,0.17546902784311813,0.22736303469142627,0.14400243109563238,0.12750959029680742
0,0.3,500,0.18711819389110226,0.2935538806894643,0.5566992309630245,0.3806938104739323,0.14056736620969523
1,0.3,1000,0.18120849933598937,0.1578843313489145,0.1978227942667128,0.12170729631434246,0.13572350883293816
0,0.35,500,0.18134130146082336,0.20213921906091586,0.2566776340957987,0.1463215683765639,0.13441014682377883
1,0.35,1000,0.17197875166002657,0.19578489708310032,0.23932145939356997,0.1397994231860034,0.12716045833955092
0,0.35,500,0.17715803452855244,0.21475039492230347,0.33072386882770793,0.21783953512150617,0.1288056010193811
1,0.35,1000,0.1701195219123506,0.1796412600436117,0.1940148900040013,0.10957409557930159,0.1198696282497882
0,0.35,500,0.17124833997343958,0.16166988059967893,0.21239026647175707,0.14338837381065667,0.12184709320114206
1,0.35,1000,0.17363877822045154,0.14108106458909114,0.15705635914292304,0.10068597338932772,0.1241865681744787
0,0.35,500,0.17755644090305445,0.23118019780506827,0.34375056759416195,0.21609047148746385,0.13151155923656022
1,0.35,1000,0.17649402390438246,0.1994150269483534,0.28676823611765256,0.18329581395720795,0.13204938894284945
0,0.35,500,0.1845285524568393,0.22652164815719006,0.40066674173153793,0.27690327769498324,0.13430712230596953
1,0.35,1000,0.17343957503320054,0.21393229680424805,0.351151627077305,0.24445134981215566,0.12207835676535994
0,0.35,500,0.1796812749003984,0.13535078714964116,0.15949053642411348,0.1010258469563608,0.1358735723877924
1,0.35,1000,0.1701195219123506,0.1797652264610691,0.26546863615091426,0.18327239409796697,0.12440102205296377
0,0.35,500,0.1749003984063745,0.15005709576251292,0.13722986165027018,0.06955241221694103,0.12847578615921373
1,0.35,1000,0.17343957503320054,0.14460654513397608,0.11220125452469842,0.04864476129165668,0.1275160293291705
0,0.35,500,0.1695883134130146,0.19755990361189796,0.30120631304686785,0.20708981972991763,0.12180005416409712
1,0.35,1000,0.16640106241699867,0.1517923848954262,0.1301416680817825,0.06605314251669808,0.12250726452232985
0,0.35,500,0.18147410358565738,0.2132612132288375,0.327221231781765,0.21338519213709645,0.13007585561250234
1,0.35,1000,0.17735723771580345,0.16714903577696885,0.17675184129258692,0.09661948612259097,0.12668451154553606
0,0.35,500,0.1753652058432935,0.1528428297794054,0.17169430034109034,0.10350435352334642,0.12856145939043706
1,0.35,1000,0.17217795484727755,0.1869435439884502,0.24499295519983533,0.15447967641751553,0.12473727594549422
0,0.4,500,0.17855245683930943,0.1620957393444395,0.18087463814482035,0.10218655802898469,0.13298982867580333
1,0.4,1000,0.1703851261620186,0.17831217155042534,0.2252596417166725,0.13948011339781602,0.12962871396014908
0,0.4,500,0.17131474103585656,0.18544345004076151,0.2226444671607442,0.1326632207104671,0.12406029493857351
1,0.4,1000,0.1693227091633466,0.22342290896586314,0.3387184513309306,0.2231352793903525,0.12503096402283942
0,0.4,500,0.18127490039840638,0.21445419943360183,0.29817622891925133,0.17920590683123022,0.13551996720867598
1,0.4,1000,0.1753652058432935,0.20920129299781706,0.29893864764666767,0.18911422093838232,0.12976983107128393
0,0.4,500,0.17250996015936254,0.189082526349734,0.29166333150607104,0.2023395868165614,0.12402166074439502
1,0.4,1000,0.16879150066401064,0.1909228058109599,0.2938428339399444,0.2060896203755061,0.12001325277227926
0,0.4,500,0.17695883134130147,0.1783076983285656,0.25151298944206146,0.167455420869151,0.1242806462485686
1,0.4,1000,0.17244355909694556,0.1763545652970136,0.2593829783805248,0.17772702840257704,0.12724613157077425
0,0.4,500,0.1745019920318725,0.2020515800191891,0.2598251720237976,0.15427575227729567,0.12939494298457488
1,0.4,1000,0.1696547144754316,0.20127157449445926,0.2429633252508031,0.13975429711575865,0.1270341851036456
0,0.4,500,0.1796812749003984,0.10456109960699636,0.05776051028912693,0.02205351037985298,0.1307379927441934
1,0.4,1000,0.17549800796812748,0.1207081266666387,0.06854404885966636,0.02139546945679066,0.12966484074297135
0,0.4,500,0.17709163346613546,0.19297360752966403,0.32728512671150817,0.23406435663076192,0.12659239928194954
1,0.4,1000,0.17257636122177955,0.19019824416614142,0.2660963898579841,0.17325097920716354,0.12623486248182647
0,0.4,500,0.1811420982735724,0.16327083266176495,0.19734728738138746,0.12632215101696448,0.11357217436153433
1,0.4,1000,0.17284196547144753,0.1626968761726536,0.1539415082623249,0.07943902011308934,0.12300395262308417
0,0.4,500,0.18592297476759628,0.19844042624308078,0.3133672346903529,0.2079072299390341,0.1348662349198514
1,0.4,1000,0.1745019920318725,0.18723133463428535,0.27478356892104644,0.18352258674058963,0.12818657130372813
0,0.45,500,0.18373173970783532,0.2654379562021833,0.45632050660782786,0.30260800125210563,0.1340307855152102
1,0.45,1000,0.1759628154050465,0.2662159959164098,0.45696955844457576,0.306221514168158,0.13186516441567653
0,0.45,500,0.17662682602921648,0.18786520822516778,0.2658083616924909,0.17213710785302155,0.12952765525284327
1,0.45,1000,0.17343957503320054,0.1744572171533174,0.1966962986178824,0.11227766128143185,0.12781812224938227
0,0.45,500,0.17463479415670652,0.15665860838148182,0.1831305627419642,0.1123901908490042,0.12898785973605054
1,0.45,1000,0.1701859229747676,0.17199540056508228,0.1898012056146129,0.11073252178760923,0.12208282998721964
0,0.45,500,0.18778220451527225,0.2562124275691604,0.5399384507743535,0.39914523225931375,0.13128171988199278
1,0.45,1000,0.17609561752988048,0.2477339671052905,0.4446157418904991,0.30940204529629267,0.13115598824694052
0,0.45,500,0.18326693227091634,0.2393268775982674,0.42216639041497805,0.2884029997983607,0.13575766980525694
1,0.45,1000,0.17430278884462153,0.2058060173098441,0.3124525474717919,0.20731716372937836,0.12849510325630287
0,0.45,500,0.1738379814077025,0.17689077020074395,0.1946145449146569,0.10809635958280667,0.1272010583442328
1,0.45,1000,0.16640106241699867,0.19162391814477397,0.21871780642697702,0.12709614880407338,0.11888214947978937
0,0.45,500,0.18552456839309428,0.11657846028133036,0.08052276163343242,0.026643802791076032,0.14696282979304565
1,0.45,1000,0.18266932270916333,0.11430479984127484,0.05463398798001062,0.004123037658562423,0.14242303114700372
0,0.45,500,0.17735723771580345,0.15016852512318862,0.14576553268911552,0.0776653941876479,0.12849706906680636
1,0.45,1000,0.1747011952191235,0.11802880718770928,0.018250405003643166,0.026714062368798808,0.12364873846818947
0,0.45,500,0.1859893758300133,0.1970422736114954,0.23010656258778556,0.11752770826395437,0.14221501630088185
1,0.45,1000,0.17868525896414342,0.1673878215752557,0.20005833137037654,0.11675371047684546,0.13560367462939604
0,0.45,500,0.17742363877822045,0.20398308913520408,0.3312059023226073,0.22795177336887817,0.12799143452233241
1,0.45,1000,0.1689907038512616,0.1796893822823626,0.22152727057741572,0.13691249712249898,0.12484030046330341
0,0.5,500,0.17875166002656043,0.23226087204035945,0.3924340516776454,0.2666773674478808,0.1308687392019584
1,0.5,1000,0.17091633466135459,0.21874897384190245,0.37542283795045384,0.2664043261620963,0.12316689424266458
0,0.5,500,0.1743691899070385,0.16271815908024623,0.1490191967436818,0.07321219363539627,0.12406226074907689
1,0.5,1000,0.17138114209827357,0.17510146139756969,0.1820660513169866,0.09971090754239426,0.12144000995261772
