,C,checkpoint,train error,demographic parity,equal odds,equal_opportunity,overall accuracy
1,0.3,1000,0.14442231075697212,0.20517928286852588,0.2629852983601565,0.17894736842105263,0.1294820717131474
0,0.3,500,0.16468253968253968,0.17857142857142858,0.258780553566815,0.1699905033238367,0.09920634920634919
1,0.3,1000,0.16235059760956175,0.1892430278884462,0.3387563121717248,0.2654320987654321,0.07768924302788849
0,0.3,500,0.12698412698412698,0.15873015873015872,0.015315315315315381,0.04999999999999993,0.13492063492063489
1,0.3,1000,0.1454183266932271,0.14143426294820716,0.1559526541807188,0.11027070063694266,0.09561752988047811
0,0.3,500,0.13293650793650794,0.1865079365079365,0.25258664680990833,0.1783659378596088,0.09126984126984128
1,0.3,1000,0.13247011952191234,0.18127490039840638,0.19699837540937104,0.11278784909358153,0.11354581673306774
0,0.3,500,0.12103174603174603,0.23412698412698416,0.3767693785950271,0.29053084648493543,0.06746031746031744
1,0.3,1000,0.1344621513944223,0.1593625498007968,0.15803309651442254,0.1032608695652174,0.08565737051792821
0,0.3,500,0.125,0.25,0.2947640720426343,0.1893939393939394,0.13888888888888884
1,0.3,1000,0.13844621513944222,0.1852589641434263,0.20637115244958382,0.12630579297245964,0.13745019920318724
0,0.3,500,0.1111111111111111,0.20634920634920634,0.2915666389010542,0.23901234567901236,0.07936507936507942
1,0.3,1000,0.1294820717131474,0.15737051792828685,0.19913665712506773,0.150233014471425,0.095617529880478
0,0.3,500,0.12698412698412698,0.19444444444444448,0.19838078729162856,0.13352044907778665,0.11111111111111116
1,0.3,1000,0.14043824701195218,0.1713147410358566,0.14307039062301796,0.07107157137145137,0.12151394422310757
0,0.3,500,0.13293650793650794,0.08333333333333334,0.0016358322221449173,0.018117543084401277,0.09920634920634919
1,0.3,1000,0.13844621513944222,0.15139442231075698,0.10510896020829791,0.028527763627101355,0.149402390438247
0,0.3,500,0.11507936507936507,0.20634920634920637,0.13944991789819372,0.06904761904761902,0.13492063492063489
1,0.3,1000,0.13346613545816732,0.20517928286852588,0.1308144159983523,0.03256302521008403,0.15139442231075706
0,0.4,500,0.1488095238095238,0.19841269841269843,0.17870023192015438,0.10441370223978919,0.11507936507936511
1,0.4,1000,0.13047808764940239,0.17729083665338646,0.2047412905947943,0.14974182444061962,0.10956175298804771
0,0.4,500,0.12103174603174603,0.18253968253968253,0.28965032631623344,0.22595281306715065,0.09126984126984128
1,0.4,1000,0.14143426294820718,0.21115537848605576,0.3116038217302073,0.2052785923753665,0.13147410358565736
0,0.4,500,0.10317460317460317,0.20634920634920634,0.09062972095025645,0.015686274509803977,0.11904761904761907
1,0.4,1000,0.12450199203187251,0.19322709163346613,0.23017886756994788,0.1610833012450263,0.11354581673306763
0,0.4,500,0.14087301587301587,0.15079365079365079,0.07825903825903813,0.0008658008658009031,0.13888888888888895
1,0.4,1000,0.13745019920318724,0.15338645418326693,0.19695998206307025,0.1397581792318635,0.09960159362549792
0,0.4,500,0.13095238095238096,0.18253968253968256,0.21419159870443877,0.13540467970847714,0.10317460317460314
1,0.4,1000,0.14043824701195218,0.1553784860557769,0.18453967667020793,0.11982312338222606,0.10956175298804782
0,0.4,500,0.13293650793650794,0.19841269841269843,0.10986772486772489,0.014550264550264536,0.14682539682539686
1,0.4,1000,0.13545816733067728,0.14541832669322707,0.037045621475888746,0.04130295933574624,0.14342629482071712
0,0.4,500,0.1349206349206349,0.12698412698412698,0.12722228378742062,0.1923076923076923,0.16666666666666663
1,0.4,1000,0.13147410358565736,0.15737051792828682,0.10513977956671372,0.03703703703703709,0.12749003984063745
0,0.4,500,0.12896825396825398,0.22619047619047622,0.17692207965287743,0.07869549805033671,0.13095238095238093
1,0.4,1000,0.12848605577689243,0.21314741035856571,0.3051487088423601,0.22142857142857147,0.10159362549800788
0,0.4,500,0.11904761904761904,0.19047619047619047,0.136710420602,0.0481159420289855,0.13492063492063489
1,0.4,1000,0.1145418326693227,0.13944223107569723,0.08440139878622754,0.033302497687326515,0.10956175298804782
0,0.4,500,0.1488095238095238,0.08333333333333333,0.1449946033459255,0.21650326797385622,0.16269841269841268
1,0.4,1000,0.1344621513944223,0.12749003984063745,0.005257786068456505,0.07548825982005702,0.13346613545816732
0,0.5,500,0.13690476190476192,0.21825396825396826,0.4121626880927947,0.33049708911777875,0.07539682539682546
1,0.5,1000,0.14342629482071714,0.16733067729083667,0.21269636342574644,0.14956011730205282,0.10756972111553786
0,0.5,500,0.10317460317460317,0.15873015873015872,0.18617212718336307,0.13363363363363356,0.06349206349206349
1,0.5,1000,0.1294820717131474,0.13745019920318727,0.0008767575859971455,0.06948465547191662,0.13147410358565736
0,0.5,500,0.12301587301587301,0.16269841269841268,0.1395418173716264,0.08691983122362867,0.09523809523809523
1,0.5,1000,0.12848605577689243,0.1832669322709163,0.19437648729009072,0.14087301587301593,0.08565737051792821
0,0.5,500,0.12698412698412698,0.18253968253968253,0.30439349550623407,0.249620253164557,0.10317460317460325
1,0.5,1000,0.14940239043824702,0.16533864541832669,0.21923275546561743,0.14115684093437147,0.13147410358565736
0,0.5,500,0.12698412698412698,0.23809523809523808,0.25677106450085174,0.15116279069767447,0.13492063492063489
1,0.5,1000,0.15438247011952191,0.21513944223107567,0.2396386889346575,0.13036902601330919,0.1533864541832669
0,0.5,500,0.1527777777777778,0.19841269841269843,0.19015957091074465,0.09487179487179487,0.11507936507936511
1,0.5,1000,0.14741035856573706,0.16932270916334663,0.19562845938704065,0.12596153846153846,0.10358565737051795
0,0.5,500,0.14087301587301587,0.14285714285714285,0.11456110633993344,0.06612903225806455,0.1071428571428571
1,0.5,1000,0.1344621513944223,0.15537848605577687,0.1847281234261126,0.14682203389830512,0.08565737051792821
0,0.5,500,0.13293650793650794,0.2857142857142857,0.5069067139094072,0.4065934065934066,0.09126984126984128
1,0.5,1000,0.12649402390438247,0.24900398406374502,0.28955734487968376,0.1994252873563218,0.09760956175298796
0,0.5,500,0.12896825396825398,0.16269841269841268,0.13875598086124408,0.06798245614035087,0.13888888888888884
1,0.5,1000,0.13047808764940239,0.15139442231075698,0.16765750949697195,0.12125902992776061,0.1055776892430278
0,0.5,500,0.13095238095238096,0.25,0.40738365096201345,0.322267620020429,0.11904761904761907
1,0.5,1000,0.13545816733067728,0.22310756972111553,0.3764991266241626,0.2968426501035196,0.11952191235059761
0,0.6,500,0.11904761904761904,0.07142857142857142,0.08709592073593864,0.07773232028053773,0.05555555555555558
1,0.6,1000,0.1294820717131474,0.099601593625498,0.020561666640018128,0.06247889226612635,0.10756972111553775
0,0.6,500,0.14484126984126985,0.1904761904761905,0.16738492878843747,0.07160493827160497,0.13095238095238093
1,0.6,1000,0.1454183266932271,0.15936254980079684,0.13572741373717068,0.06694271911663213,0.11952191235059761
0,0.6,500,0.1130952380952381,0.20238095238095238,0.4403896438768325,0.3729332516840172,0.08333333333333337
1,0.6,1000,0.13645418326693226,0.12749003984063745,0.12332400283870948,0.07446808510638303,0.08565737051792821
0,0.6,500,0.1388888888888889,0.19841269841269843,0.39354066985645936,0.3157894736842105,0.11111111111111105
1,0.6,1000,0.14243027888446216,0.18326693227091634,0.18163225485743673,0.1098039215686274,0.14143426294820716
0,0.6,500,0.10515873015873016,0.22619047619047616,0.2725890639038069,0.2211764705882353,0.06746031746031744
1,0.6,1000,0.12250996015936255,0.22509960159362552,0.3019636848438026,0.22210125204137182,0.09760956175298796
0,0.6,500,0.13293650793650794,0.16666666666666669,0.24279151160730117,0.18226120857699812,0.1071428571428571
1,0.6,1000,0.12649402390438247,0.16932270916334663,0.19122812053846533,0.13586413586413582,0.10159362549800788
0,0.6,500,0.1349206349206349,0.1507936507936508,0.012696597276738553,0.0896341463414635,0.1507936507936508
1,0.6,1000,0.13147410358565736,0.17928286852589637,0.08793229160824778,0.0013802622498274575,0.12749003984063745
