,train_error,demographic parity,equal_opportunity,equal odds,overall accuracy
0,0.16713147410358567,0.1876300130399432,0.1318678724199414,0.1876300130399432,0.19637403845538565
1,0.16679946879150068,0.19136744005195677,0.13081098850359918,0.19136744005195677,0.19637403845538565
2,0.16660026560424968,0.19876075305867574,0.13812954053331755,0.19876075305867574,0.19637403845538565
3,0.16766268260292164,0.17828892283232933,0.12770940089297142,0.17828892283232933,0.19637403845538565
4,0.16533864541832669,0.1979213720330278,0.136833529810744,0.1979213720330278,0.19637403845538565
5,0.16646746347941568,0.17669224339919448,0.12462604717772699,0.17669224339919448,0.19637403845538565
6,0.16693227091633467,0.22273250829336333,0.14790543592941144,0.22273250829336333,0.19637403845538565
7,0.1654050464807437,0.17490042718466386,0.12602901403911654,0.17490042718466386,0.19637403845538565
8,0.16845949535192564,0.18848261313826184,0.13176179888992284,0.18848261313826184,0.19637403845538565
9,0.16633466135458166,0.15484246024714932,0.11561226441892418,0.15484246024714932,0.19637403845538565
