,C,checkpoint,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
0,0.4,500.0,0.1755644090305445,0.18561194808390744,0.12611129725018616,0.18561194808390744,0.19637403845538565
1,0.4,1000.0,0.17211155378486057,0.18522167452111604,0.12847849416347853,0.18522167452111604,0.19637403845538565
2,0.4,500.0,0.17762284196547146,0.1873813981891395,0.12728103473685448,0.1873813981891395,0.19637403845538565
3,0.4,1000.0,0.16812749003984065,0.1979580404167029,0.13523542616795875,0.1979580404167029,0.19637403845538565
4,0.4,500.0,0.17782204515272243,0.18576648486062133,0.1281383086499413,0.18576648486062133,0.19637403845538565
5,0.4,1000.0,0.1699203187250996,0.18664450008044778,0.13081600332631185,0.18664450008044778,0.19637403845538565
6,0.4,500.0,0.17231075697211157,0.17511040784128912,0.12463445202059342,0.17511040784128912,0.19637403845538565
7,0.4,1000.0,0.16660026560424968,0.17793423445150708,0.12816942061005077,0.17793423445150708,0.19637403845538565
8,0.4,500.0,0.18306772908366534,0.1474872398337558,0.10722056038798358,0.1474872398337558,0.19637403845538565
9,0.4,1000.0,0.16826029216467464,0.1839775170653915,0.1313185888585764,0.1839775170653915,0.19637403845538565
10,0.4,500.0,0.17675962815405047,0.18294157504869746,0.12449333490945867,0.18294157504869746,0.19637403845538565
11,0.4,1000.0,0.1695883134130146,0.18881798442199482,0.13048761267579487,0.18881798442199482,0.19637403845538565
12,0.4,500.0,0.18067729083665338,0.2326623988653181,0.14735276234789266,0.2326623988653181,0.19637403845538565
13,0.4,1000.0,0.16865869853917662,0.2102912546847721,0.14236724625914784,0.2102912546847721,0.19637403845538565
14,0.4,500.0,0.18625498007968128,0.13556897205622437,0.10237026397886345,0.13556897205622437,0.19637403845538565
15,0.4,1000.0,0.17423638778220452,0.16193869515636927,0.11541123020601834,0.16193869515636927,0.19637403845538565
16,0.4,500.0,0.18173970783532536,0.1684117681360211,0.12184031316083453,0.1684117681360211,0.19637403845538565
17,0.4,1000.0,0.17171314741035856,0.1784219761085421,0.12824418158705136,0.1784219761085421,0.19637403845538565
18,0.4,500.0,0.16945551128818062,0.1594863666127065,0.11516512276657098,0.1594863666127065,0.19637403845538565
19,0.4,1000.0,0.16752988047808764,0.1451636919373546,0.11079219736111603,0.1451636919373546,0.19637403845538565
20,0.45,500.0,0.17841965471447543,0.20539195342810374,0.13493977228011012,0.20539195342810374,0.19637403845538565
21,0.45,1000.0,0.17961487383798141,0.16260977873177984,0.11341695556893155,0.16260977873177984,0.19637403845538565
22,0.45,500.0,0.1790172642762284,0.2536322009870335,0.1631478090309776,0.2536322009870335,0.19637403845538565
23,0.45,1000.0,0.16746347941567066,0.17755738055429476,0.12462157395586727,0.17755738055429476,0.19637403845538565
24,0.45,500.0,0.18306772908366534,0.18347994635583967,0.12446168134849625,0.18347994635583967,0.19637403845538565
25,0.45,1000.0,0.17516600265604249,0.1745691881148461,0.11997929239286899,0.1745691881148461,0.19637403845538565
26,0.45,500.0,0.18233731739707834,0.24806663038475868,0.15201042938697343,0.24806663038475868,0.19637403845538565
