,p,checkpoint,train_error,demographic parity,equal_opportunity,equal odds,overall accuracy
0,0.4,500.0,0.17231075697211157,0.23980370700107967,0.15547063699943017,0.23980370700107967,0.19637403845538565
1,0.4,1000.0,0.17197875166002657,0.18371514154106425,0.1258601749880261,0.18371514154106425,0.19637403845538565
2,0.4,500.0,0.1811420982735724,0.2181358415577596,0.13989560061839584,0.2181358415577596,0.19637403845538565
3,0.4,1000.0,0.17310756972111555,0.19479599410345108,0.13116710109407184,0.19479599410345108,0.19637403845538565
4,0.4,500.0,0.17343957503320054,0.23647532904809376,0.15478131952863636,0.23647532904809376,0.19637403845538565
5,0.4,1000.0,0.17204515272244356,0.21539572236826166,0.14421897957544952,0.21539572236826166,0.19637403845538565
6,0.4,500.0,0.1691899070385126,0.1971626494158905,0.13722129596217908,0.1971626494158905,0.19637403845538565
7,0.4,1000.0,0.1698539176626826,0.21048245984516115,0.14202902655611405,0.21048245984516115,0.19637403845538565
8,0.4,500.0,0.17762284196547146,0.1502300670275186,0.1085543226959382,0.1502300670275186,0.19637403845538565
9,0.4,1000.0,0.17284196547144753,0.17028695076332723,0.11971386785633238,0.17028695076332723,0.19637403845538565
10,0.4,500.0,0.1848605577689243,0.14760585042055607,0.10443895858500639,0.14760585042055607,0.19637403845538565
11,0.4,1000.0,0.17031872509960158,0.18768152529884782,0.13043467620723986,0.18768152529884782,0.19637403845538565
12,0.4,500.0,0.1800132802124834,0.2691145835036284,0.16637370406700716,0.2691145835036284,0.19637403845538565
13,0.4,1000.0,0.1699867197875166,0.22303961603628775,0.14836009981583365,0.22303961603628775,0.19637403845538565
14,0.4,500.0,0.17908366533864542,0.16449960464140698,0.11354770202669648,0.16449960464140698,0.19637403845538565
15,0.4,1000.0,0.17084993359893758,0.17875931320277852,0.12406890037434849,0.17875931320277852,0.19637403845538565
16,0.4,500.0,0.17855245683930943,0.22239822021133626,0.14213598269493002,0.22239822021133626,0.19637403845538565
17,0.4,1000.0,0.17131474103585656,0.19975270505053427,0.13588217782356735,0.19975270505053427,0.19637403845538565
18,0.4,500.0,0.17775564409030545,0.19937103692351782,0.1334793957283058,0.19937103692351782,0.19637403845538565
19,0.4,1000.0,0.17337317397078353,0.20262072227849634,0.13760119887160072,0.20262072227849634,0.19637403845538565
20,0.45,500.0,0.17622841965471447,0.16741805092656772,0.11712577803219199,0.16741805092656772,0.19637403845538565
21,0.45,1000.0,0.17151394422310756,0.1912223913198153,0.13237547277491865,0.1912223913198153,0.19637403845538565
22,0.45,500.0,0.18851261620185922,0.1540234795202965,0.10372924081541739,0.1540234795202965,0.19637403845538565
23,0.45,1000.0,0.1750332005312085,0.1548152799080466,0.10959670374499539,0.1548152799080466,0.19637403845538565
24,0.45,500.0,0.1793492695883134,0.1567165596727495,0.11293314553290325,0.1567165596727495,0.19637403845538565
25,0.45,1000.0,0.17749003984063744,0.19244953849689833,0.13021574910689518,0.19244953849689833,0.19637403845538565
26,0.45,500.0,0.17443559096945552,0.17843146415311448,0.12532234528173686,0.17843146415311448,0.19637403845538565
27,0.45,1000.0,0.1699867197875166,0.16094925057586715,0.118674335226576,0.16094925057586715,0.19637403845538565
28,0.45,500.0,0.18612217795484728,0.24955581207822458,0.15372246980179072,0.24955581207822458,0.19637403845538565
29,0.45,1000.0,0.17589641434262948,0.21434277007292613,0.13887091186386896,0.21434277007292613,0.19637403845538565
30,0.45,500.0,0.17729083665338646,0.2415880009815412,0.152818156851659,0.2415880009815412,0.19637403845538565
