,train_error,demographic parity,equal_opportunity,equal odds,overall accuracy
0,0.16673306772908367,0.17718052665708248,0.12055001253819292,0.20356908231807463,0.19637403845538565
1,0.1656042496679947,0.1756249888294824,0.12659519230274913,0.20543168557774505,0.19637403845538565
2,0.16799468791500663,0.17899647419850645,0.10809693079888566,0.19123321026453544,0.19637403845538565
3,0.16746347941567066,0.21521990268395522,0.23077072471897597,0.33734513923430737,0.19637403845538565
4,0.16586985391766268,0.20558261698763972,0.1775699439808392,0.27883347488197974,0.19637403845538565
5,0.1647410358565737,0.17700918019463568,0.1294358498638507,0.209686201361801,0.19637403845538565
6,0.1643426294820717,0.19587361932653297,0.18295536917409577,0.27504783214553696,0.19637403845538565
7,0.1644754316069057,0.16518695630169744,0.09602884869685624,0.16803728779423155,0.19637403845538565
8,0.16746347941567066,0.19230055814375013,0.21263461420922847,0.3007714469465493,0.19637403845538565
9,0.16852589641434262,0.16487340952640997,0.08955240079261939,0.16070379322795347,0.19637403845538565
