,C,checkpoint,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
0,0.4,500.0,0.17709163346613546,0.2393639676304955,0.19123562538450617,0.2393639676304955,0.23108229615257206
1,0.4,1000.0,0.16786188579017264,0.2642563059012825,0.2161279636552932,0.2642563059012825,0.23108229615257206
2,0.4,500.0,0.1793492695883134,0.0857843137254902,0.09865196078431372,0.0857843137254902,0.22487745098039214
3,0.4,1000.0,0.1756308100929615,0.09620098039215687,0.10355392156862746,0.09620098039215687,0.22487745098039214
4,0.4,500.0,0.1797476759628154,0.19877101213752477,0.14641206642628612,0.19877101213752477,0.2274135391803362
5,0.4,1000.0,0.16978751660026561,0.22340155400944597,0.15626428317505459,0.22340155400944597,0.2274135391803362
6,0.4,500.0,0.1756308100929615,0.20540308747855918,0.11299313893653515,0.20540308747855918,0.19961406518010288
7,0.4,1000.0,0.16845949535192564,0.1194253859348199,0.1035591766723842,0.1194253859348199,0.19961406518010288
8,0.4,500.0,0.17622841965471447,0.1053223388305847,0.0995127436281859,0.1053223388305847,0.18946776611694155
9,0.4,1000.0,0.1702523240371846,0.1651049475262369,0.1103823088455772,0.1651049475262369,0.18946776611694155
10,0.4,500.0,0.1806108897742364,0.16373100583626898,0.12350807087649193,0.16373100583626898,0.207318996792681
11,0.4,1000.0,0.17928286852589642,0.19669803880330197,0.15027078184972922,0.19669803880330197,0.207318996792681
12,0.4,500.0,0.18300132802124833,0.16012558869701723,0.09321036106750392,0.16012558869701723,0.17778649921507061
13,0.4,1000.0,0.17204515272244356,0.16974097331240184,0.08300627943485085,0.16974097331240184,0.17778649921507061
14,0.4,500.0,0.1754316069057105,0.1488970588235294,0.09497549019607843,0.1488970588235294,0.2506127450980392
15,0.4,1000.0,0.17330677290836655,0.16299019607843138,0.11458333333333331,0.16299019607843138,0.2506127450980392
16,0.4,500.0,0.17822045152722443,0.19090909090909092,0.1284090909090909,0.19090909090909092,0.21477272727272728
17,0.4,1000.0,0.17197875166002657,0.2272727272727273,0.16022727272727272,0.2272727272727273,0.21477272727272728
18,0.4,500.0,0.1836653386454183,0.13226059654631084,0.10047095761381476,0.13226059654631084,0.22135007849293561
19,0.4,1000.0,0.17636122177954847,0.20251177394034536,0.14580062794348508,0.20251177394034536,0.22135007849293561
20,0.45,500.0,0.1794156706507304,0.272252350863227,0.14662421015970944,0.272252350863227,0.1578685506741629
21,0.45,1000.0,0.17257636122177955,0.2523011095079357,0.14174834568884023,0.2523011095079357,0.1578685506741629
22,0.45,500.0,0.1793492695883134,0.21330455259026687,0.14580062794348508,0.21330455259026687,0.21232339089481947
23,0.45,1000.0,0.17131474103585656,0.1985871271585557,0.14069858712715855,0.1985871271585557,0.21232339089481947
24,0.45,500.0,0.17722443559096945,0.16840042213176543,0.10884969093924315,0.16840042213176543,0.18694406754108248
25,0.45,1000.0,0.17065073041168657,0.14789687924016282,0.09347203377054124,0.14789687924016282,0.18694406754108248
26,0.45,500.0,0.17622841965471447,0.16592102703754136,0.11262400311223496,0.16592102703754136,0.17117292355572847
27,0.45,1000.0,0.17662682602921648,0.17107566621279907,0.10319004084808402,0.17107566621279907,0.17117292355572847
28,0.45,500.0,0.17861885790172644,0.10567412805830298,0.057356490464246845,0.10567412805830298,0.11140031233732431
29,0.45,1000.0,0.16978751660026561,0.07727982584827978,0.03781174577634755,0.07727982584827978,0.11140031233732431
30,0.45,500.0,0.18127490039840638,0.24830393487109906,0.15377657168701944,0.24830393487109906,0.20729684908789386
31,0.45,1000.0,0.17171314741035856,0.20805065581184984,0.14352480024121816,0.20805065581184984,0.20729684908789386
32,0.45,500.0,0.1839973439575033,0.19589816124469592,0.10183875530410183,0.19589816124469592,0.12325722368155181
33,0.45,1000.0,0.17098273572377157,0.16589209941402305,0.09193776520509195,0.16589209941402305,0.12325722368155181
34,0.45,500.0,0.16945551128818062,0.27096327096327094,0.17186417186417186,0.27096327096327094,0.1645876645876646
35,0.45,1000.0,0.1699867197875166,0.2626472626472626,0.15453915453915454,0.2626472626472626,0.1645876645876646
36,0.45,500.0,0.18379814077025233,0.1516215657921917,0.09522825862425119,0.1516215657921917,0.2225779797562487
37,0.45,1000.0,0.16686586985391766,0.16133030365626935,0.10979136542036769,0.16133030365626935,0.2225779797562487
38,0.45,500.0,0.17682602921646745,0.2103395594105761,0.14853876102705632,0.2103395594105761,0.16445714848947812
39,0.45,1000.0,0.17264276228419656,0.18451530235079594,0.12315805036715786,0.18451530235079594,0.16445714848947812
40,0.5,500.0,0.17908366533864542,0.10357304387155133,0.08397406904869592,0.10357304387155133,0.19237147595356552
41,0.5,1000.0,0.1691899070385126,0.18332579526609377,0.13372531282979044,0.18332579526609377,0.19237147595356552
42,0.5,500.0,0.17755644090305445,0.17953431372549022,0.13296568627450978,0.17953431372549022,0.2230392156862745
43,0.5,1000.0,0.17151394422310756,0.14583333333333331,0.10845588235294117,0.14583333333333331,0.2230392156862745
44,0.5,500.0,0.1795484727755644,0.16999999999999998,0.09499999999999999,0.16999999999999998,0.16999999999999998
45,0.5,1000.0,0.17277556440903055,0.18,0.11499999999999999,0.18,0.16999999999999998
46,0.5,500.0,0.17669322709163346,0.1984019297452133,0.10387456656113372,0.1984019297452133,0.21800090456806875
47,0.5,1000.0,0.17051792828685258,0.18362731795567616,0.10900045228403438,0.18362731795567616,0.21800090456806875
48,0.5,500.0,0.1811420982735724,0.22650278868002477,0.12156579219169594,0.22650278868002477,0.19159264614749016
49,0.5,1000.0,0.16845949535192564,0.17217517041933483,0.09636438752323902,0.17217517041933483,0.19159264614749016
50,0.5,500.0,0.17822045152722443,0.25714894296820917,0.2132701421800948,0.25714894296820917,0.23238724106714947
51,0.5,1000.0,0.16978751660026561,0.2429309334895362,0.2037914691943128,0.2429309334895362,0.23238724106714947
52,0.5,500.0,0.1757636122177955,0.195,0.12499999999999999,0.195,0.20500000000000002
53,0.5,1000.0,0.16845949535192564,0.19,0.12499999999999999,0.19,0.20500000000000002
54,0.5,500.0,0.1738379814077025,0.12254901960784313,0.07352941176470588,0.12254901960784313,0.18504901960784315
55,0.5,1000.0,0.1655378486055777,0.14767156862745096,0.09374999999999999,0.14767156862745096,0.18504901960784315
56,0.5,500.0,0.17888446215139442,0.2711672332847661,0.2023636069289299,0.2711672332847661,0.21369596891695
57,0.5,1000.0,0.1701195219123506,0.23150396632669581,0.18147968269386433,0.23150396632669581,0.21369596891695
58,0.5,500.0,0.17277556440903055,0.22601153220639694,0.12956483169878272,0.22601153220639694,0.22270957567394412
59,0.5,1000.0,0.1701859229747676,0.24123995860233602,0.1397171159627421,0.24123995860233602,0.22270957567394412
60,0.55,500.0,0.1801460823373174,0.21658748192522206,0.1301384011567858,0.21658748192522206,0.24199545548440404
61,0.55,1000.0,0.17317397078353253,0.20016525511258004,0.11950010328444535,0.20016525511258004,0.24199545548440404
62,0.55,500.0,0.17961487383798141,0.2152095995013246,0.15458937198067632,0.2152095995013246,0.18123733832008726
63,0.55,1000.0,0.17051792828685258,0.19853514103163472,0.1330839956365903,0.19853514103163472,0.18123733832008726
64,0.55,500.0,0.17755644090305445,0.12498052049244193,0.07776219417173133,0.12498052049244193,0.1463300607760636
65,0.55,1000.0,0.17197875166002657,0.131369798971482,0.06591865357643759,0.131369798971482,0.1463300607760636
66,0.55,500.0,0.18240371845949535,0.25558129219851167,0.1887043516830122,0.25558129219851167,0.248977379133606
67,0.55,1000.0,0.17682602921646745,0.28096200285841016,0.20900892021093095,0.28096200285841016,0.248977379133606
68,0.55,500.0,0.1750996015936255,0.24649035175350967,0.17613964982386035,0.24649035175350967,0.2709395867290604
69,0.55,1000.0,0.17237715803452855,0.2847678637152321,0.16993532783006468,0.2847678637152321,0.2709395867290604
70,0.55,500.0,0.17702523240371845,0.17912284627433428,0.13168494070261805,0.17912284627433428,0.15193555605280823
71,0.55,1000.0,0.1757636122177955,0.16692772432311476,0.11031550682479303,0.16692772432311476,0.15193555605280823
72,0.55,500.0,0.17848605577689244,0.21258361204013376,0.13566053511705686,0.21258361204013376,0.2351588628762542
73,0.55,1000.0,0.17277556440903055,0.16429765886287626,0.12604515050167223,0.16429765886287626,0.2351588628762542
74,0.55,500.0,0.19289508632138114,0.10574162679425837,0.07416267942583732,0.10574162679425837,0.14258373205741626
75,0.55,1000.0,0.17915006640106243,0.15598086124401914,0.09282296650717703,0.15598086124401914,0.14258373205741626
76,0.55,500.0,0.1847941567065073,0.14068317953699205,0.06977497166909503,0.14068317953699205,0.10199125789218069
77,0.55,1000.0,0.17662682602921648,0.14019750688036264,0.07187955318115591,0.14019750688036264,0.10199125789218069
78,0.55,500.0,0.1847277556440903,0.16534017971758663,0.1293966623876765,0.16534017971758663,0.21103979460847241
79,0.55,1000.0,0.1745683930942895,0.15481386392811297,0.11810012836970477,0.15481386392811297,0.21103979460847241
80,0.6,500.0,0.1804116865869854,0.20816616728454623,0.11548423137473973,0.20816616728454623,0.1880046721852623
81,0.6,1000.0,0.17317397078353253,0.1687573002894724,0.12041033974912396,0.1687573002894724,0.1880046721852623
82,0.6,500.0,0.17224435590969456,0.1766051766051766,0.12798512798512798,0.1766051766051766,0.1866151866151866
83,0.6,1000.0,0.16361221779548474,0.16602316602316602,0.12269412269412269,0.16602316602316602,0.1866151866151866
84,0.6,500.0,0.17828685258964144,0.17098844672657254,0.14890885750962773,0.17098844672657254,0.23286264441591786
85,0.6,1000.0,0.17231075697211157,0.21155327342747113,0.16354300385109116,0.21155327342747113,0.23286264441591786
86,0.6,500.0,0.17881806108897744,0.15599110931501314,0.11204283693675489,0.15599110931501314,0.19529197817740956
87,0.6,1000.0,0.16879150066401064,0.18630026267932914,0.12224691856940795,0.18630026267932914,0.19529197817740956
88,0.6,500.0,0.1747675962815405,0.20692571769739787,0.17632718045673915,0.20692571769739787,0.23767351609532814
89,0.6,1000.0,0.16905710491367862,0.15697298373053387,0.16125180357231703,0.15697298373053387,0.23767351609532814
90,0.6,500.0,0.17636122177954847,0.09777015437392797,0.08469125214408232,0.09777015437392797,0.19768439108061747
91,0.6,1000.0,0.1695883134130146,0.07225557461406516,0.07054030874785591,0.07225557461406516,0.19768439108061747
92,0.6,500.0,0.1749003984063745,0.15742076720234838,0.12682222996168963,0.15742076720234838,0.22807104831086122
93,0.6,1000.0,0.17735723771580345,0.1625951539877606,0.12682222996168963,0.1625951539877606,0.22807104831086122
