,p,checkpoint,train_error,demographic parity,equal_opportunity,equal odds,overall accuracy
0,0.4,500.0,0.17802124833997343,0.16711423259657096,0.11464573435240652,0.16711423259657096,0.1335467878537492
1,0.4,1000.0,0.17164674634794155,0.1458376368518901,0.0982235075397645,0.1458376368518901,0.1335467878537492
2,0.4,500.0,0.18187250996015936,0.15244425385934818,0.08554888507718696,0.15244425385934818,0.18717838765008574
3,0.4,1000.0,0.16752988047808764,0.16187821612349912,0.10441680960548884,0.16187821612349912,0.18717838765008574
4,0.4,500.0,0.1802124833997344,0.18906827465473644,0.12458665629255009,0.18906827465473644,0.3007197043376775
5,0.4,1000.0,0.16606905710491368,0.21221552227193152,0.13489593464306554,0.21221552227193152,0.3007197043376775
6,0.4,500.0,0.17762284196547146,0.28395378690629014,0.21309370988446727,0.28395378690629014,0.25314505776636714
7,0.4,1000.0,0.17357237715803453,0.24492939666238767,0.20410783055198972,0.24492939666238767,0.25314505776636714
8,0.4,500.0,0.1747011952191235,0.24861904990633554,0.18713675008405783,0.24861904990633554,0.18046015658773235
9,0.4,1000.0,0.16726427622841966,0.20803112541428503,0.15831692204236514,0.20803112541428503,0.18046015658773235
10,0.4,500.0,0.1802124833997344,0.10909090909090907,0.09772727272727273,0.10909090909090907,0.23636363636363636
11,0.4,1000.0,0.17463479415670652,0.15113636363636362,0.12954545454545457,0.15113636363636362,0.23636363636363636
12,0.4,500.0,0.17662682602921648,0.15368541033434652,0.10600303951367782,0.15368541033434652,0.19072948328267475
13,0.4,1000.0,0.16872509960159363,0.14304711246200608,0.11132218844984801,0.14304711246200608,0.19072948328267475
14,0.4,500.0,0.18180610889774237,0.13903743315508021,0.1369578134284017,0.13903743315508021,0.2896613190730838
15,0.4,1000.0,0.16779548472775566,0.1693404634581105,0.15745692216280452,0.1693404634581105,0.2896613190730838
16,0.4,500.0,0.1845949535192563,0.06190476190476191,0.012698412698412709,0.06190476190476191,0.14126984126984124
17,0.4,1000.0,0.1704515272244356,0.11746031746031749,0.06666666666666668,0.11746031746031749,0.14126984126984124
18,0.4,500.0,0.1901062416998672,0.25449247207382225,0.17678484701311314,0.25449247207382225,0.2967459932005828
19,0.4,1000.0,0.17031872509960158,0.2263234579893152,0.16739517565161083,0.2263234579893152,0.2967459932005828
20,0.45,500.0,0.17649402390438246,0.26626730014459826,0.1312745300557736,0.26626730014459826,0.21978929973146047
21,0.45,1000.0,0.16839309428950863,0.2535633133650072,0.15255112580045446,0.2535633133650072,0.21978929973146047
