,p,checkpoint,train_error,demographic parity,equal odds,equal_opportunity,overall accuracy
1,0.2,1000,0.27,0.15333333333333335,0.3066666666666667,0.24,0.08666666666666667
0,0.2,500,0.3333333333333333,0.18666666666666665,0.3733333333333333,0.2933333333333333,0.10666666666666669
1,0.2,1000,0.30666666666666664,0.0933333333333333,0.18666666666666676,0.13333333333333336,0.040000000000000036
0,0.2,500,0.3333333333333333,0.17333333333333337,0.3466666666666667,0.16000000000000003,0.013333333333333308
1,0.2,1000,0.34,0.09333333333333332,0.18666666666666665,0.026666666666666616,0.06666666666666665
0,0.2,500,0.29333333333333333,0.06666666666666665,0.1333333333333333,0.040000000000000036,0.026666666666666616
1,0.2,1000,0.29333333333333333,0.013333333333333336,0.026666666666666727,0.013333333333333364,0.0
0,0.2,500,0.27666666666666667,0.019999999999999962,0.039999999999999925,0.013333333333333364,0.033333333333333326
1,0.2,1000,0.29333333333333333,0.05333333333333337,0.10666666666666663,0.03999999999999998,0.01333333333333342
0,0.2,500,0.2866666666666667,0.12000000000000002,0.24000000000000005,0.16000000000000003,0.039999999999999925
1,0.2,1000,0.2833333333333333,0.1,0.20000000000000007,0.13333333333333336,0.033333333333333326
0,0.3,500,0.2866666666666667,0.026666666666666672,0.053333333333333455,0.013333333333333364,0.013333333333333308
1,0.3,1000,0.2966666666666667,0.006666666666666654,0.013333333333333308,0.053333333333333344,0.05999999999999994
0,0.3,500,0.24,0.10666666666666663,0.21333333333333337,0.17333333333333334,0.06666666666666665
1,0.3,1000,0.25333333333333335,0.08000000000000002,0.16000000000000003,0.08000000000000007,0.0
0,0.3,500,0.32666666666666666,0.30666666666666664,0.6133333333333334,0.4266666666666667,0.12
1,0.3,1000,0.2866666666666667,0.2533333333333333,0.5066666666666666,0.36,0.10666666666666669
0,0.3,500,0.33,0.15333333333333332,0.30666666666666664,0.1866666666666667,0.033333333333333326
1,0.3,1000,0.35333333333333333,0.13333333333333333,0.26666666666666666,0.16000000000000003,0.026666666666666727
0,0.3,500,0.28,0.13333333333333333,0.26666666666666666,0.21333333333333326,0.07999999999999996
1,0.3,1000,0.2733333333333333,0.12,0.24,0.1333333333333333,0.013333333333333308
0,0.3,500,0.2633333333333333,0.11333333333333334,0.22666666666666657,0.17333333333333328,0.06000000000000005
1,0.3,1000,0.26666666666666666,0.13333333333333333,0.2666666666666666,0.19999999999999996,0.06666666666666676
0,0.3,500,0.3566666666666667,0.31333333333333335,0.6266666666666667,0.26666666666666666,0.046666666666666634
1,0.3,1000,0.3333333333333333,0.16,0.32000000000000006,0.14666666666666667,0.013333333333333308
0,0.3,500,0.33666666666666667,0.04666666666666666,0.09333333333333338,0.0,0.046666666666666634
1,0.3,1000,0.30666666666666664,0.053333333333333344,0.10666666666666669,0.026666666666666672,0.026666666666666616
0,0.3,500,0.3466666666666667,0.14666666666666664,0.29333333333333345,0.16000000000000003,0.01333333333333342
1,0.3,1000,0.3333333333333333,0.11999999999999997,0.24000000000000005,0.13333333333333336,0.013333333333333308
0,0.3,500,0.30666666666666664,0.10666666666666666,0.21333333333333326,0.1466666666666666,0.040000000000000036
1,0.3,1000,0.29333333333333333,0.17333333333333334,0.3466666666666667,0.25333333333333335,0.08000000000000007
0,0.4,500,0.3,0.12,0.24,0.16000000000000003,0.039999999999999925
1,0.4,1000,0.30333333333333334,0.09999999999999998,0.20000000000000012,0.12000000000000005,0.020000000000000018
0,0.4,500,0.26,0.13333333333333333,0.26666666666666666,0.17333333333333328,0.040000000000000036
