,C,checkpoint,train error,demographic parity,equal odds,equal_opportunity,overall accuracy
0,0.0,500,0.18652058432934926,0.07744268353513949,0.0014117102147090388,0.02428582281676933,0.14149296206741968
1,0.0,1000,0.17622841965471447,0.13851229186203998,0.14273956501961194,0.08448228687499676,0.12954053331756943
0,0.0,500,0.18240371845949535,0.11877051952620515,0.009644161882132574,0.05568842676238728,0.1148404631441522
1,0.0,1000,0.17602921646746347,0.13607799662085196,0.045337848065548525,0.012145767488779935,0.1192758130627346
0,0.0,500,0.199402390438247,0.2589512629640438,0.3593514184496922,0.19150190414879947,0.15336168339654987
1,0.0,1000,0.1749003984063745,0.1875323443527911,0.22353273348824082,0.128095205726327,0.1296841578400605
0,0.0,500,0.1948207171314741,0.31087098624371945,0.48791291206204035,0.2853155768911108,0.1513951306994188
1,0.0,1000,0.18466135458167332,0.2740153089699472,0.4239346454183875,0.2582936290557055,0.1390356187010442
0,0.0,500,0.19163346613545817,0.270683882004752,0.398968713141367,0.22629524673964146,0.15270652689807485
1,0.0,1000,0.17343957503320054,0.2091215171981038,0.2808396884087182,0.17229761957123374,0.12600556472811208
0,0.0,500,0.21892430278884462,0.0036610412324540667,0.15862300046506198,0.15841821128254574,0.1874713440493141
1,0.0,1000,0.2098937583001328,0.009292767375954504,0.18345866658452453,0.18346089540405253,0.1804123191246222
0,0.0,500,0.1847277556440903,0.2123810316055992,0.29156015100415655,0.18107035611324024,0.11677929390132769
1,0.0,1000,0.17310756972111555,0.16579005894041488,0.17070725917669205,0.09907457283033566,0.11252281267926112
0,0.0,500,0.18771580345285524,0.09169541146329498,0.010939994889416882,0.022194029535298587,0.13752711991048905
1,0.0,1000,0.1900398406374502,0.05649972074458241,0.08769877493305911,0.10050832518874403,0.14520571615168676
0,0.0,500,0.19415670650730413,0.30593860721643823,0.5255018084925454,0.3262660575980021,0.15917031242606272
1,0.0,1000,0.19853917662682602,0.3722611219791234,0.6451267175821038,0.38933231123736256,0.17020609176190804
0,0.0,500,0.18034528552456838,0.15718356002304493,0.18907496484705905,0.11402615369939528,0.13414024906538247
1,0.0,1000,0.17443559096945552,0.13850978445068365,0.11889521364535893,0.05950700625081751,0.13020267044926048
0,0.05,500,0.19216467463479417,0.12827386933751042,0.12340964880878247,0.059528141245742294,0.1474530788614371
1,0.05,1000,0.1793492695883134,0.14467344286896322,0.132641222685702,0.06532484201591293,0.13417244422719787
0,0.05,500,0.18333333333333332,0.12320105521498333,0.06022465688820677,0.007942188363071756,0.129210176856549
1,0.05,1000,0.1800796812749004,0.17566165721315752,0.2176884511193456,0.12823058393706116,0.13465232264221938
0,0.05,500,0.17184594953519255,0.14342108116328078,0.17349811398764864,0.11575293990635488,0.1263591699072284
1,0.05,1000,0.1661354581673307,0.1784983618881016,0.23698779047868462,0.15825198740354302,0.11818585137577953
0,0.05,500,0.19236387782204514,0.25044724696363013,0.38420224712050177,0.22797576444419815,0.15258221947267292
1,0.05,1000,0.17211155378486057,0.17908966966379886,0.2200310551074599,0.1322079614954665,0.13068058305377872
0,0.05,500,0.17689243027888446,0.1413489965369841,0.16363967275760416,0.10486727508795296,0.12750511707494783
1,0.05,1000,0.17330677290836655,0.14912899249343226,0.11818606844857515,0.05187213213827313,0.125808462136213
0,0.05,500,0.17749003984063744,0.19583695094285788,0.2611326828546447,0.15741115733518557,0.13534021590336287
1,0.05,1000,0.17749003984063744,0.18861051117672595,0.24590361854082404,0.14818430401033672,0.13382975130230435
0,0.05,500,0.18638778220451527,0.14418515961107523,0.14993945713318374,0.08002794389058698,0.13797283735319188
1,0.05,1000,0.17782204515272243,0.16786268516756458,0.17668192768639912,0.09373313127516564,0.13130157857993496
0,0.05,500,0.17290836653386454,0.16956936975172476,0.24724496326018014,0.17200001599405024,0.12400878267966886
1,0.05,1000,0.16892430278884463,0.20009451536663037,0.3060764395660621,0.20952148657842135,0.12353337748650717
0,0.05,500,0.1856573705179283,0.18030807099007104,0.30673787459123325,0.21472355141030397,0.13930551645944045
1,0.05,1000,0.17430278884462153,0.17689829243481298,0.23955514064698452,0.15463790327141164,0.12940138201693796
0,0.05,500,0.18067729083665338,0.24343098844703198,0.5388660760824222,0.4174846956932022,0.1177158020132748
1,0.05,1000,0.17662682602921648,0.23010670479590165,0.46848730001300143,0.35560257298570647,0.1180481242847985
0,0.1,500,0.17669322709163346,0.1666707821645062,0.23594283072893962,0.15809147568533077,0.1311366711498514
1,0.1,1000,0.17211155378486057,0.16886609101449884,0.20523267518035598,0.12643525180061593,0.1282638396920851
0,0.1,500,0.1794156706507304,0.2295044847659816,0.43425280128048893,0.3139689178482747,0.12913541587954835
1,0.1,1000,0.17928286852589642,0.23792926656753496,0.3793800255733004,0.24658826916387105,0.13346970709082495
0,0.1,500,0.17709163346613546,0.13644664626810632,0.1293811174421266,0.07257414527510048,0.1278007709627964
1,0.1,1000,0.16779548472775566,0.1506142425658914,0.1358691985578384,0.0720297763517686,0.1239726558968468
0,0.1,500,0.1745683930942895,0.19022203448509034,0.272843103511534,0.17827311097414622,0.12949349428052448
1,0.1,1000,0.17304116865869854,0.18430055188525138,0.2702636089394725,0.1824544126727714,0.12662262863326157
0,0.1,500,0.18173970783532536,0.177119185345661,0.2622067552614219,0.17440883419939207,0.13288680415799403
1,0.1,1000,0.17569721115537848,0.1428286901858776,0.13334347431138271,0.0722337004919884,0.12663747250849122
0,0.1,500,0.18100929614873837,0.2308137145612258,0.345491051905854,0.21681762955609085,0.13210483282276086
1,0.1,1000,0.17151394422310756,0.21747065541385918,0.29923269742528436,0.18502431381240464,0.12647059926790405
0,0.1,500,0.1747011952191235,0.18550336714253257,0.22554033671666152,0.1339130414914223,0.12546129598945976
1,0.1,1000,0.17191235059760956,0.1664031912245577,0.14843003336476734,0.06943988264936868,0.12585353536275445
0,0.1,500,0.17569721115537848,0.24047085895548345,0.4211734031348125,0.29228955400019757,0.12814793710954964
1,0.1,1000,0.1738379814077025,0.2186944125707885,0.33367364981900416,0.220453419899226,0.12478431498253906
0,0.1,500,0.1848605577689243,0.260468367190374,0.47727695043691704,0.3274918873036373,0.13691452922719927
1,0.1,1000,0.17324037184594954,0.22003407231025318,0.3627476435274452,0.2500646902209521,0.12540781792005173
0,0.1,500,0.18127490039840638,0.21630932277005727,0.29111737002441196,0.16984310407956815,0.13612415304909942
